Run	Sample	Condition	strain	developmental_stage
SRR9291223	SAMN12046311	AWK33_pg1_gr1	AWK33 pgrn-1(-); granulin 1(+)	day 1 adults
SRR9291225	SAMN12046311	AWK33_pg1_gr1	AWK33 pgrn-1(-); granulin 1(+)	day 1 adults
SRR9291210	SAMN12046315	AWK33_pg1_gr1	AWK33 pgrn-1(-); granulin 1(+)	day 1 adults
SRR9291212	SAMN12046315	AWK33_pg1_gr1	AWK33 pgrn-1(-); granulin 1(+)	day 1 adults
SRR9291195	SAMN12046319	AWK33_pg1_gr1	AWK33 pgrn-1(-); granulin 1(+)	day 1 adults
SRR9291196	SAMN12046319	AWK33_pg1_gr1	AWK33 pgrn-1(-); granulin 1(+)	day 1 adults
SRR9291197	SAMN12046319	AWK33_pg1_gr1	AWK33 pgrn-1(-); granulin 1(+)	day 1 adults
SRR9291198	SAMN12046319	AWK33_pg1_gr1	AWK33 pgrn-1(-); granulin 1(+)	day 1 adults
SRR9291181	SAMN12046324	AWK33_pg1_gr1	AWK33 pgrn-1(-); granulin 1(+)	day 1 adults
SRR9291183	SAMN12046324	AWK33_pg1_gr1	AWK33 pgrn-1(-); granulin 1(+)	day 1 adults
SRR9291246	SAMN12046304	AWK33_pg1_gr2	AWK43 pgrn-1(-); granulin 2(+)	day 1 adults
SRR9291247	SAMN12046304	AWK33_pg1_gr2	AWK43 pgrn-1(-); granulin 2(+)	day 1 adults
SRR9291249	SAMN12046304	AWK33_pg1_gr2	AWK43 pgrn-1(-); granulin 2(+)	day 1 adults
SRR9291237	SAMN12046307	AWK33_pg1_gr2	AWK43 pgrn-1(-); granulin 2(+)	day 1 adults
SRR9291238	SAMN12046307	AWK33_pg1_gr2	AWK43 pgrn-1(-); granulin 2(+)	day 1 adults
SRR9291239	SAMN12046307	AWK33_pg1_gr2	AWK43 pgrn-1(-); granulin 2(+)	day 1 adults
SRR9291240	SAMN12046307	AWK33_pg1_gr2	AWK43 pgrn-1(-); granulin 2(+)	day 1 adults
SRR9291241	SAMN12046307	AWK33_pg1_gr2	AWK43 pgrn-1(-); granulin 2(+)	day 1 adults
SRR9291263	SAMN12046335	AWK33_pg1_gr2	AWK43 pgrn-1(-); granulin 2(+)	day 1 adults
SRR9291264	SAMN12046335	AWK33_pg1_gr2	AWK43 pgrn-1(-); granulin 2(+)	day 1 adults
SRR9291265	SAMN12046335	AWK33_pg1_gr2	AWK43 pgrn-1(-); granulin 2(+)	day 1 adults
SRR9291254	SAMN12046338	AWK33_pg1_gr2	AWK43 pgrn-1(-); granulin 2(+)	day 1 adults
SRR9291255	SAMN12046338	AWK33_pg1_gr2	AWK43 pgrn-1(-); granulin 2(+)	day 1 adults
SRR9291256	SAMN12046338	AWK33_pg1_gr2	AWK43 pgrn-1(-); granulin 2(+)	day 1 adults
SRR9291228	SAMN12046309	AWK33_pg1_gr3	AWK107 pgrn-1(-); granulin 3(+)	day 1 adults
SRR9291229	SAMN12046309	AWK33_pg1_gr3	AWK107 pgrn-1(-); granulin 3(+)	day 1 adults
SRR9291230	SAMN12046309	AWK33_pg1_gr3	AWK107 pgrn-1(-); granulin 3(+)	day 1 adults
SRR9291231	SAMN12046309	AWK33_pg1_gr3	AWK107 pgrn-1(-); granulin 3(+)	day 1 adults
SRR9291214	SAMN12046314	AWK33_pg1_gr3	AWK107 pgrn-1(-); granulin 3(+)	day 1 adults
SRR9291215	SAMN12046314	AWK33_pg1_gr3	AWK107 pgrn-1(-); granulin 3(+)	day 1 adults
