Run	Condition	timepoint	title	organism_part	source_name	strain
SRR9607381	SRR9607381	1 h	RNAseq_N2_1hr	l1 arrested c. elegans larvae	synchronized population	N2
SRR9607382	SRR9607382	2 h	RNAseq_N2_2hr	l1 arrested c. elegans larvae	synchronized population	N2
SRR9607383	SRR9607383	3 h	RNAseq_N2_3hr	l1 arrested c. elegans larvae	synchronized population	N2
SRR9607384	SRR9607384	4 h	RNAseq_N2_4hr	l1 arrested c. elegans larvae	synchronized population	N2
SRR9607385	SRR9607385	5 h	RNAseq_N2_5hr	l1 arrested c. elegans larvae	synchronized population	N2
SRR9607386	SRR9607386	6 h	RNAseq_N2_6hr	l1 arrested c. elegans larvae	synchronized population	N2
SRR9607387	SRR9607387	7 h	RNAseq_N2_7hr	l1 arrested c. elegans larvae	synchronized population	N2
SRR9607388	SRR9607388	8 h	RNAseq_N2_8hr	l1 arrested c. elegans larvae	synchronized population	N2
SRR9607389	SRR9607389	9 h	RNAseq_N2_9hr	l1 arrested c. elegans larvae	synchronized population	N2
SRR9607390	SRR9607390	10 h	RNAseq_N2_10hr	l1 arrested c. elegans larvae	synchronized population	N2
SRR9607391	SRR9607391	11 h	RNAseq_N2_11hr	l1 arrested c. elegans larvae	synchronized population	N2
SRR9607392	SRR9607392	12 h	RNAseq_N2_12hr	l1 arrested c. elegans larvae	synchronized population	N2
SRR9607393	SRR9607393	13 h	RNAseq_N2_13hr	l1 arrested c. elegans larvae	synchronized population	N2
SRR9607394	SRR9607394	14 h	RNAseq_N2_14hr	l1 arrested c. elegans larvae	synchronized population	N2
SRR9607395	SRR9607395	15 h	RNAseq_N2_15hr	l1 arrested c. elegans larvae	synchronized population	N2
SRR9607396	SRR9607396	16 h	RNAseq_N2_16hr	l1 arrested c. elegans larvae	synchronized population	N2
