Run	Condition	sample_name	developmental_stage	organism_part	sex	strain	title
SRR9650426	A1	A1	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650402	A100	A100	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650490	A11	A11	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650489	A12	A12	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650488	A13	A13	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650427	A2	A2	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650414	A25	A25	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650418	A3	A3	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650419	A4	A4	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650495	A5	A5	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650494	A6	A6	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650493	A8	A8	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650492	A9	A9	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650466	B10	B10	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650401	B100	B100	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650467	B11	B11	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650458	B12	B12	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650459	B13	B13	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650496	B2	B2	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650415	B25	B25	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650460	B3	B3	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650461	B4	B4	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650462	B5	B5	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650463	B6	B6	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650464	B8	B8	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650465	B9	B9	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650412	C25	C25	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650399	D100	D100	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650413	D25	D25	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650398	F100	F100	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650416	F25	F25	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650420	G100	G100	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650417	G25	G25	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650421	H100	H100	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650407	H25	H25	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650422	I100	I100	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650406	I25	I25	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650423	J100	J100	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650405	J25	J25	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650424	K100	K100	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650404	K25	K25	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650425	L100	L100	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650403	L25	L25	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
SRR9650409	PMA	PMA	young adult	whole organism	hermaphrodite	N2	Model organism or animal sample from Caenorhabditis elegans
