Run	Condition	infection	rnai	title	devlopment_stage	genotype	source_name	strain
SRR9733081	SRR9733081	none	control RNAi	ctrl_ctrl_1st	adult	wild type	Whole body	N2
SRR9733082	SRR9733082	none	control RNAi	ctrl_ctrl_2nd	adult	wild type	Whole body	N2
SRR9733083	SRR9733083	none	control RNAi	ctrl_ctrl_3rd	adult	wild type	Whole body	N2
SRR9733084	SRR9733084	PA14	control RNAi	ctrl_PA14_1st	adult	wild type	Whole body	N2
SRR9733085	SRR9733085	PA14	control RNAi	ctrl_PA14_2nd	adult	wild type	Whole body	N2
SRR9733086	SRR9733086	PA14	control RNAi	ctrl_PA14_3rd	adult	wild type	Whole body	N2
SRR9733088	SRR9733088	none	stt-3 RNAi	stt-3_ctrl_2nd	adult	wild type	Whole body	N2
SRR9733089	SRR9733089		stt-3 RNAi	stt-3_ctrl_3rd	adult	wild type	Whole body	N2
SRR9733090	SRR9733090	PA14	stt-3 RNAi	stt-3_PA14_1st	adult	wild type	Whole body	N2
SRR9733091	SRR9733091	PA14	stt-3 RNAi	stt-3_PA14_2nd	adult	wild type	Whole body	N2
SRR9733092	SRR9733092	PA14	stt-3 RNAi	stt-3_PA14_3rd	adult	wild type	Whole body	N2
