Run	Condition	timepoint	title	treatment	medium	organism_part	source_name	strain	temperature
SRR10005478	SRR10005478	2 h	D1106_BT247_2h_rep1	B-18247	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005479	SRR10005479	2 h	D1107_BT247_2h_rep2	B-18247	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005480	SRR10005480	2 h	D1108_BT247_2h_rep3	B-18247	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005481	SRR10005481	2 h	D1109_BT247_2h_rep4	B-18247	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005482	SRR10005482	2 h	D1110_BT679_2h_rep1	B-18679	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005483	SRR10005483	2 h	D1111_BT679_2h_rep2	B-18679	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005484	SRR10005484	2 h	D1112_BT679_2h_rep3	B-18679	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005485	SRR10005485	2 h	D1113_BT679_2h_rep4	B-18679	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005486	SRR10005486	2 h	D1114_BT407_2h_rep1	B-18407	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005487	SRR10005487	2 h	D1115_BT407_2h_rep2	B-18407	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005488	SRR10005488	2 h	D1116_BT407_2h_rep3	B-18407	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005489	SRR10005489	2 h	D1117_BT407_2h_rep4	B-18407	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005490	SRR10005490	2 h	D1118_OP_2h_rep1	E. coli OP50	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005491	SRR10005491	2 h	D1119_OP_2h_rep2	E. coli OP50	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005492	SRR10005492	2 h	D1120_OP_2h_rep3	E. coli OP50	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005493	SRR10005493	2 h	D1121_OP_2h_rep4	E. coli OP50	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005494	SRR10005494	6 h	D1122_BT247_6h_rep1	B-18247	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005495	SRR10005495	6 h	D1123_BT247_6h_rep2	B-18247	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005496	SRR10005496	6 h	D1124_BT247_6h_rep3	B-18247	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005497	SRR10005497	6 h	D1125_BT247_6h_rep4	B-18247	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005498	SRR10005498	6 h	D1126_BT679_6h_rep1	B-18679	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005499	SRR10005499	6 h	D1127_BT679_6h_rep2	B-18679	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005500	SRR10005500	6 h	D1128_BT679_6h_rep3	B-18679	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005501	SRR10005501	6 h	D1129_BT679_6h_rep4	B-18679	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005502	SRR10005502	6 h	D1130_BT407_6h_rep1	B-18407	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005503	SRR10005503	6 h	D1131_BT407_6h_rep2	B-18407	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005504	SRR10005504	6 h	D1132_BT407_6h_rep3	B-18407	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005505	SRR10005505	6 h	D1133_BT407_6h_rep4	B-18407	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005506	SRR10005506	6 h	D1134_OP_6h_rep1	E. coli OP50	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005507	SRR10005507	6 h	D1135_OP_6h_rep2	E. coli OP50	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005510	SRR10005510	12 h	D1138_BT247_12h_rep1	B-18247	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005511	SRR10005511	12 h	D1139_BT247_12h_rep2	B-18247	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005512	SRR10005512	12 h	D1140_BT247_12h_rep3	B-18247	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005513	SRR10005513	12 h	D1141_BT247_12h_rep4	B-18247	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005514	SRR10005514	12 h	D1142_BT679_12h_rep1	B-18679	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005515	SRR10005515	12 h	D1143_BT679_12h_rep2	B-18679	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005516	SRR10005516	12 h	D1144_BT679_12h_rep3	B-18679	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005517	SRR10005517	12 h	D1145_BT679_12h_rep4	B-18679	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005518	SRR10005518	12 h	D1146_BT407_12h_rep1	B-18407	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005519	SRR10005519	12 h	D1147_BT407_12h_rep2	B-18407	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005520	SRR10005520	12 h	D1148_BT407_12h_rep3	B-18407	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005521	SRR10005521	12 h	D1149_BT407_12h_rep4	B-18407	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005522	SRR10005522	12 h	D1150_OP_12h_rep1	E. coli OP50	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005523	SRR10005523	12 h	D1151_OP_12h_rep2	E. coli OP50	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005524	SRR10005524	12 h	D1152_OP_12h_rep3	E. coli OP50	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005525	SRR10005525	12 h	D1153_OP_12h_rep4	E. coli OP50	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005526	SRR10005526	24 h	D1154_BT247_24h_rep1	B-18247	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005527	SRR10005527	24 h	D1155_BT247_24h_rep2	B-18247	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005528	SRR10005528	24 h	D1156_BT247_24h_rep3	B-18247	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005529	SRR10005529	24 h	D1157_BT247_24h_rep4	B-18247	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005530	SRR10005530	24 h	D1158_BT679_24h_rep1	B-18679	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005531	SRR10005531	24 h	D1159_BT679_24h_rep2	B-18679	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005532	SRR10005532	24 h	D1160_BT679_24h_rep3	B-18679	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
SRR10005533	SRR10005533	24 h	D1161_BT679_24h_rep4	B-18679	mNGM	whole organism	whole body	Wild type (N2)	20 degrees Celsius
