Run	Sample	Condition	Time	treatment	developmental_stage	organism_part	phenotype	sample_type	sex	strain
SRR10006159	SAMN12610412	JCMS	12h	JCMS	adult	whole organism	wild-type	Bulk RNA	hermaphrodite	N2
SRR10006165	SAMN12610412	JCMS	12h	JCMS	adult	whole organism	wild-type	Bulk RNA	hermaphrodite	N2
SRR10006166	SAMN12610412	JCMS	12h	JCMS	adult	whole organism	wild-type	Bulk RNA	hermaphrodite	N2
SRR10006157	SAMN12610413	JV3	12h	JV3	adult	whole organism	wild-type	Bulk RNA	hermaphrodite	N2
SRR10006160	SAMN12610413	JV3	12h	JV3	adult	whole organism	wild-type	Bulk RNA	hermaphrodite	N2
SRR10006164	SAMN12610413	JV3	12h	JV3	adult	whole organism	wild-type	Bulk RNA	hermaphrodite	N2
SRR10006162	SAMN12610411	K279a	12h	K279a	adult	whole organism	wild-type	Bulk RNA	hermaphrodite	N2
SRR10006167	SAMN12610411	K279a	12h	K279a	adult	whole organism	wild-type	Bulk RNA	hermaphrodite	N2
SRR10006168	SAMN12610411	K279a	12h	K279a	adult	whole organism	wild-type	Bulk RNA	hermaphrodite	N2
SRR10006158	SAMN12610410	OP50	12h	OP50	adult	whole organism	wild-type	Bulk RNA	hermaphrodite	N2
SRR10006161	SAMN12610410	OP50	12h	OP50	adult	whole organism	wild-type	Bulk RNA	hermaphrodite	N2
SRR10006163	SAMN12610410	OP50	12h	OP50	adult	whole organism	wild-type	Bulk RNA	hermaphrodite	N2
