Run	Condition	title	genotype	organism_part	source_name	strain
SRR10207242	SRR10207242	C12_1	wild type	whole organism	Host	N2
SRR10207243	SRR10207243	C12_2	wild type	whole organism	Host	N2
SRR10207244	SRR10207244	C12_3	wild type	whole organism	Host	N2
SRR10207245	SRR10207245	C24_1	wild type	whole organism	Host	N2
SRR10207246	SRR10207246	C24_2	wild type	whole organism	Host	N2
SRR10207247	SRR10207247	C24_3	wild type	whole organism	Host	N2
SRR10207248	SRR10207248	C36_1	wild type	whole organism	Host	N2
SRR10207249	SRR10207249	C36_2	wild type	whole organism	Host	N2
SRR10207250	SRR10207250	C36_3	wild type	whole organism	Host	N2
SRR10207251	SRR10207251	C48_1	wild type	whole organism	Host	N2
SRR10207252	SRR10207252	C48_2	wild type	whole organism	Host	N2
SRR10207253	SRR10207253	C48_3	wild type	whole organism	Host	N2
