Run	Condition	experimental_temp	strain	title	developmental_stage	organism_part	source_name
SRR11097330	SRR11097330	20C	N2- wild type	wild-type - 20°C, replicate 1	Day 1 Adult	whole organism	Whole worm
SRR11097331	SRR11097331	20C	N2- wild type	wild-type - 20°C, replicate 2	Day 1 Adult	whole organism	Whole worm
SRR11097332	SRR11097332	20C	N2- wild type	wild-type - 20°C, replicate 3	Day 1 Adult	whole organism	Whole worm
SRR11097333	SRR11097333	25C	N2- wild type	wild-type - 25°C, 1 generation, replicate 1	Day 1 Adult	whole organism	Whole worm
SRR11097334	SRR11097334	25C	N2- wild type	wild-type - 25°C, 1 generation, replicate 2	Day 1 Adult	whole organism	Whole worm
SRR11097335	SRR11097335	25C	N2- wild type	wild-type - 25°C, 1 generation, replicate 3	Day 1 Adult	whole organism	Whole worm
SRR11097336	SRR11097336	25C	N2- wild type	wild-type - 25°C, 2 generation, replicate 1	Day 1 Adult	whole organism	Whole worm
SRR11097337	SRR11097337	25C	N2- wild type	wild-type - 25°C, 2 generation, replicate 2	Day 1 Adult	whole organism	Whole worm
SRR11097338	SRR11097338	25C	N2- wild type	wild-type - 25°C, 2 generation, replicate 3	Day 1 Adult	whole organism	Whole worm
SRR11097339	SRR11097339	25C	N2- wild type	wild-type - 25°C, 7 generation, replicate 1	Day 1 Adult	whole organism	Whole worm
SRR11097341	SRR11097341	25C	N2- wild type	wild-type - 25°C, 7 generation, replicate 3	Day 1 Adult	whole organism	Whole worm
SRR11097343	SRR11097343	25C	N2- wild type	wild-type - 25°C, 10 generation, replicate 2	Day 1 Adult	whole organism	Whole worm
SRR11097344	SRR11097344	25C	N2- wild type	wild-type - 25°C, 10 generation, replicate 3	Day 1 Adult	whole organism	Whole worm
SRR11097345	SRR11097345	20C	USC863- simr-1(cmp36)	simr-1 - 20°C, replicate 1	Day 1 Adult	whole organism	Whole worm
SRR11097346	SRR11097346	20C	USC863- simr-1(cmp36)	simr-1 - 20°C, replicate 2	Day 1 Adult	whole organism	Whole worm
SRR11097347	SRR11097347	20C	USC863- simr-1(cmp36)	simr-1 - 20°C, replicate 3	Day 1 Adult	whole organism	Whole worm
SRR11097348	SRR11097348	25C	USC863- simr-1(cmp36)	simr-1 - 25°C, 1 generation, replicate 1	Day 1 Adult	whole organism	Whole worm
SRR11097349	SRR11097349	25C	USC863- simr-1(cmp36)	simr-1 - 25°C, 1 generation, replicate 2	Day 1 Adult	whole organism	Whole worm
SRR11097352	SRR11097352	25C	USC863- simr-1(cmp36)	simr-1 - 25°C, 2 generation, replicate 2	Day 1 Adult	whole organism	Whole worm
SRR11097354	SRR11097354	25C	USC863- simr-1(cmp36)	simr-1 - 25°C, 7 generation, replicate 1	Day 1 Adult	whole organism	Whole worm
SRR11097356	SRR11097356	25C	USC863- simr-1(cmp36)	simr-1 - 25°C, 7 generation, replicate 3	Day 1 Adult	whole organism	Whole worm
SRR11097357	SRR11097357	25C	USC863- simr-1(cmp36)	simr-1 - 25°C, 10 generation, replicate 1	Day 1 Adult	whole organism	Whole worm
SRR11097358	SRR11097358	25C	USC863- simr-1(cmp36)	simr-1 - 25°C, 10 generation, replicate 2	Day 1 Adult	whole organism	Whole worm
SRR11097359	SRR11097359	25C	USC863- simr-1(cmp36)	simr-1 - 25°C, 10 generation, replicate 3	Day 1 Adult	whole organism	Whole worm
