Run	Sample	Condition	sample_name	strain	title	developmental_stage	organism_part	sex
SRR10302316	SAMN13050740	CB4853-Day3-RNAseq	CB4853-Day3-RNAseq	CB4853	CB4853	Day3	whole organism	hermaphrodite
SRR10302317	SAMN13050740	CB4853-Day3-RNAseq	CB4853-Day3-RNAseq	CB4853	CB4853	Day3	whole organism	hermaphrodite
SRR10302319	SAMN13050735	ED3017-Day3-RNAseq	ED3017-Day3-RNAseq	ED3017	ED3017	Day3	whole organism	hermaphrodite
SRR10302320	SAMN13050735	ED3017-Day3-RNAseq	ED3017-Day3-RNAseq	ED3017	ED3017	Day3	whole organism	hermaphrodite
SRR10302313	SAMN13050741	ED3040-Day3-RNAseq	ED3040-Day3-RNAseq	ED3040	ED3040	Day3	whole organism	hermaphrodite
SRR10302314	SAMN13050741	ED3040-Day3-RNAseq	ED3040-Day3-RNAseq	ED3040	ED3040	Day3	whole organism	hermaphrodite
SRR10302315	SAMN13050741	ED3040-Day3-RNAseq	ED3040-Day3-RNAseq	ED3040	ED3040	Day3	whole organism	hermaphrodite
SRR10302310	SRR10302310	ED3042-Day3-RNAseq	ED3042-Day3-RNAseq	ED3042	ED3042	Day3	whole organism	hermaphrodite
SRR10302311	SAMN13050742	JU1400-Day3-RNAseq	JU1400-Day3-RNAseq	JU1400	JU1400	Day3	whole organism	hermaphrodite
SRR10302312	SAMN13050742	JU1400-Day3-RNAseq	JU1400-Day3-RNAseq	JU1400	JU1400	Day3	whole organism	hermaphrodite
SRR10302303	SAMN13050739	LKC34-Day3-RNAseq	LKC34-Day3-RNAseq	LKC34	LKC34	Day3	whole organism	hermaphrodite
SRR10302318	SAMN13050739	LKC34-Day3-RNAseq	LKC34-Day3-RNAseq	LKC34	LKC34	Day3	whole organism	hermaphrodite
SRR10302307	SRR10302307	MY14-Day3-RNAseq	MY14-Day3-RNAseq	MY14	MY14	Day3	whole organism	hermaphrodite
SRR10302304	SAMN13050738	N2-Day3-RNAseq	N2-Day3-RNAseq	N2	N2	Day3	whole organism	hermaphrodite
SRR10302305	SAMN13050738	N2-Day3-RNAseq	N2-Day3-RNAseq	N2	N2	Day3	whole organism	hermaphrodite
SRR10302306	SAMN13050738	N2-Day3-RNAseq	N2-Day3-RNAseq	N2	N2	Day3	whole organism	hermaphrodite
