Run	Sample	Condition	knockdown	developmental_stage	organism+part	strain
SRR10533874	SAMN13389970	L4440 RNAi	L4440 RNAi	Day1 of adulthood	whole worm	glp-4(bn2)
SRR10533875	SAMN13389970	L4440 RNAi	L4440 RNAi	Day1 of adulthood	whole worm	glp-4(bn2)
SRR10533872	SAMN13389971	L4440 RNAi	L4440 RNAi	Day1 of adulthood	whole worm	glp-4(bn2)
SRR10533873	SAMN13389971	L4440 RNAi	L4440 RNAi	Day1 of adulthood	whole worm	glp-4(bn2)
SRR10533878	SAMN13389967	L4440+atp-2 RNAi	L4440+atp-2 RNAi	Day1 of adulthood	whole worm	glp-4(bn2)
SRR10533879	SAMN13389967	L4440+atp-2 RNAi	L4440+atp-2 RNAi	Day1 of adulthood	whole worm	glp-4(bn2)
SRR10533876	SAMN13389969	L4440+atp-2 RNAi	L4440+atp-2 RNAi	Day1 of adulthood	whole worm	glp-4(bn2)
SRR10533877	SAMN13389969	L4440+atp-2 RNAi	L4440+atp-2 RNAi	Day1 of adulthood	whole worm	glp-4(bn2)
SRR10533890	SAMN13389968	dve-1 RNAi	dve-1 RNAi	Day1 of adulthood	whole worm	glp-4(bn2)
SRR10533891	SAMN13389968	dve-1 RNAi	dve-1 RNAi	Day1 of adulthood	whole worm	glp-4(bn2)
SRR10533888	SAMN13389991	dve-1 RNAi	dve-1 RNAi	Day1 of adulthood	whole worm	glp-4(bn2)
SRR10533889	SAMN13389991	dve-1 RNAi	dve-1 RNAi	Day1 of adulthood	whole worm	glp-4(bn2)
SRR10533894	SAMN13389989	dve-1+atp-2 RNAi	dve-1+atp-2 RNAi	Day1 of adulthood	whole worm	glp-4(bn2)
SRR10533895	SAMN13389989	dve-1+atp-2 RNAi	dve-1+atp-2 RNAi	Day1 of adulthood	whole worm	glp-4(bn2)
SRR10533892	SAMN13389990	dve-1+atp-2 RNAi	dve-1+atp-2 RNAi	Day1 of adulthood	whole worm	glp-4(bn2)
SRR10533893	SAMN13389990	dve-1+atp-2 RNAi	dve-1+atp-2 RNAi	Day1 of adulthood	whole worm	glp-4(bn2)
SRR10533882	SAMN13389965	hda-1 RNAi	hda-1 RNAi	Day1 of adulthood	whole worm	glp-4(bn2)
SRR10533883	SAMN13389965	hda-1 RNAi	hda-1 RNAi	Day1 of adulthood	whole worm	glp-4(bn2)
SRR10533880	SAMN13389966	hda-1 RNAi	hda-1 RNAi	Day1 of adulthood	whole worm	glp-4(bn2)
SRR10533881	SAMN13389966	hda-1 RNAi	hda-1 RNAi	Day1 of adulthood	whole worm	glp-4(bn2)
SRR10533886	SAMN13389992	hda-1+atp-2 RNAi	hda-1+atp-2 RNAi	Day1 of adulthood	whole worm	glp-4(bn2)
SRR10533887	SAMN13389992	hda-1+atp-2 RNAi	hda-1+atp-2 RNAi	Day1 of adulthood	whole worm	glp-4(bn2)
SRR10533884	SAMN13389993	hda-1+atp-2 RNAi	hda-1+atp-2 RNAi	Day1 of adulthood	whole worm	glp-4(bn2)
SRR10533885	SAMN13389993	hda-1+atp-2 RNAi	hda-1+atp-2 RNAi	Day1 of adulthood	whole worm	glp-4(bn2)
