Run	Condition	developmental_stage	genotype	organism_part	source_name	title	molecule_subtype
SRR10573425	SRR10573425	gravid adults (68-70h, 20 C)	N2	dissected gonads	Wild Type Dissected Gonads mRNA 20C	Wild Type Dissected Gonads mRNA 20C, Rep 1	Total RNA (rRNA-depleted, >200 nt)
SRR10573426	SRR10573426	gravid adults (68-70h, 20 C)	N2	dissected gonads	Wild Type Dissected Gonads mRNA 20C	Wild Type Dissected Gonads mRNA 20C, Rep 2	Total RNA (rRNA-depleted, >200 nt)
SRR10573427	SRR10573427	gravid adults (68-70h, 20 C)	N2	dissected gonads	Wild Type Dissected Gonads mRNA 20C	Wild Type Dissected Gonads mRNA 20C, Rep 3	Total RNA (rRNA-depleted, >200 nt)
SRR10573428	SRR10573428	gravid adults (68-70h, 20 C)	mut-16(pk710) I	dissected gonads	mut-16(pk710) Mutant Dissected Gonads mRNA 20C	mut-16(pk710) Mutant Dissected Gonads mRNA 20C, Rep 1	Total RNA (rRNA-depleted, >200 nt)
SRR10573429	SRR10573429	gravid adults (68-70h, 20 C)	mut-16(pk710) I	dissected gonads	mut-16(pk710) Mutant Dissected Gonads mRNA 20C	mut-16(pk710) Mutant Dissected Gonads mRNA 20C, Rep 2	Total RNA (rRNA-depleted, >200 nt)
SRR10573430	SRR10573430	gravid adults (68-70h, 20 C)	mut-16(pk710) I	dissected gonads	mut-16(pk710) Mutant Dissected Gonads mRNA 20C	mut-16(pk710) Mutant Dissected Gonads mRNA 20C, Rep 3	Total RNA (rRNA-depleted, >200 nt)
SRR10573431	SRR10573431	gravid adults (68-70h, 20 C)	prg-1(n4357) I	dissected gonads	prg-1(n4357) Mutant Dissected Gonads mRNA 20C	prg-1(n4357) Mutant Dissected Gonads mRNA 20C, Rep 1	Total RNA (rRNA-depleted, >200 nt)
SRR10573432	SRR10573432	gravid adults (68-70h, 20 C)	prg-1(n4357) I	dissected gonads	prg-1(n4357) Mutant Dissected Gonads mRNA 20C	prg-1(n4357) Mutant Dissected Gonads mRNA 20C, Rep 2	Total RNA (rRNA-depleted, >200 nt)
SRR10573433	SRR10573433	gravid adults (68-70h, 20 C)	prg-1(n4357) I	dissected gonads	prg-1(n4357) Mutant Dissected Gonads mRNA 20C	prg-1(n4357) Mutant Dissected Gonads mRNA 20C, Rep 3	Total RNA (rRNA-depleted, >200 nt)
SRR10573446	SRR10573446	gravid adults (68-70h, 20 C)	N2	whole organism	Wild Type Gravid Adults mRNA 20C	Wild Type Gravid Adults mRNA 20C, Rep 1	Total RNA (rRNA-depleted, >200 nt)
SRR10573447	SRR10573447	gravid adults (68-70h, 20 C)	N2	whole organism	Wild Type Gravid Adults mRNA 20C	Wild Type Gravid Adults mRNA 20C, Rep 2	Total RNA (rRNA-depleted, >200 nt)
SRR10573448	SRR10573448	gravid adults (68-70h, 20 C)	N2	whole organism	Wild Type Gravid Adults mRNA 20C	Wild Type Gravid Adults mRNA 20C, Rep 3	Total RNA (rRNA-depleted, >200 nt)
SRR10573449	SRR10573449	gravid adults (68-70h, 20 C)	mut-16(pk710) I	whole organism	mut-16(pk710) Mutant Gravid Adults mRNA 20C	mut-16(pk710) Mutant Gravid Adults mRNA 20C, Rep 1	Total RNA (rRNA-depleted, >200 nt)
SRR10573450	SRR10573450	gravid adults (68-70h, 20 C)	mut-16(pk710) I	whole organism	mut-16(pk710) Mutant Gravid Adults mRNA 20C	mut-16(pk710) Mutant Gravid Adults mRNA 20C, Rep 2	Total RNA (rRNA-depleted, >200 nt)
SRR10573451	SRR10573451	gravid adults (68-70h, 20 C)	mut-16(pk710) I	whole organism	mut-16(pk710) Mutant Gravid Adults mRNA 20C	mut-16(pk710) Mutant Gravid Adults mRNA 20C, Rep 3	Total RNA (rRNA-depleted, >200 nt)
SRR10573452	SRR10573452	gravid adults (68-70h, 20 C)	prg-1(n4357) I	whole organism	prg-1(n4357) Mutant Gravid Adults mRNA 20C	prg-1(n4357) Mutant Gravid Adults mRNA 20C, Rep 1	Total RNA (rRNA-depleted, >200 nt)
SRR10573453	SRR10573453	gravid adults (68-70h, 20 C)	prg-1(n4357) I	whole organism	prg-1(n4357) Mutant Gravid Adults mRNA 20C	prg-1(n4357) Mutant Gravid Adults mRNA 20C, Rep 2	Total RNA (rRNA-depleted, >200 nt)
