Run	Condition	maternal_rnai	title	organism_part	source_name	strain
SRR8820052	SRR8820052	empty vector	ev_rep1	arrested l1 larvae	L1 larvae	hrde-1(tm1200)
SRR8820053	SRR8820053	empty vector	ev_rep2	arrested l1 larvae	L1 larvae	hrde-1(tm1200)
SRR8820054	SRR8820054	empty vector	ev_rep3	arrested l1 larvae	L1 larvae	hrde-1(tm1200)
SRR8820055	SRR8820055	empty vector	ev_rep4	arrested l1 larvae	L1 larvae	hrde-1(tm1200)
SRR8820056	SRR8820056	daf-2	daf2_rep1	arrested l1 larvae	L1 larvae	hrde-1(tm1200)
SRR8820057	SRR8820057	daf-2	daf2_rep2	arrested l1 larvae	L1 larvae	hrde-1(tm1200)
SRR8820058	SRR8820058	daf-2	daf2_rep3	arrested l1 larvae	L1 larvae	hrde-1(tm1200)
SRR8820059	SRR8820059	daf-2	daf2_rep4	arrested l1 larvae	L1 larvae	hrde-1(tm1200)
SRR8820060	SRR8820060	pitr-1	pitr1_rep1	arrested l1 larvae	L1 larvae	hrde-1(tm1200)
SRR8820061	SRR8820061	pitr-1	pitr1_rep2	arrested l1 larvae	L1 larvae	hrde-1(tm1200)
SRR8820062	SRR8820062	pitr-1	pitr1_rep3	arrested l1 larvae	L1 larvae	hrde-1(tm1200)
SRR8820063	SRR8820063	pitr-1	pitr1_rep4	arrested l1 larvae	L1 larvae	hrde-1(tm1200)
