Run	Condition	rnai	source_name	title	strain
SRR10895122	SRR10895122	RNAi control	whole lysate	control_total_1	N2
SRR10895123	SRR10895123	RNAi control	whole lysate	control_total_2	N2
SRR10895124	SRR10895124	RNAi control	whole lysate	control_total_3	N2
SRR10895125	SRR10895125	nsun-1 RNAi	whole lysate	nsun1_total_1	N2
SRR10895126	SRR10895126	nsun-1 RNAi	whole lysate	nsun1_total_2	N2
SRR10895127	SRR10895127	nsun-1 RNAi	whole lysate	nsun1_total_3	N2
SRR10895128	SRR10895128	RNAi control	polysome fraction of sucrose gradient	control_polysomes_1	N2
SRR10895129	SRR10895129	RNAi control	polysome fraction of sucrose gradient	control_polysomes_2	N2
SRR10895130	SRR10895130	RNAi control	polysome fraction of sucrose gradient	control_polysomes_3	N2
SRR10895131	SRR10895131	nsun-1 RNAi	polysome fraction of sucrose gradient	nsun1_polysomes_1	N2
SRR10895132	SRR10895132	nsun-1 RNAi	polysome fraction of sucrose gradient	nsun1_polysomes_2	N2
SRR10895133	SRR10895133	nsun-1 RNAi	polysome fraction of sucrose gradient	nsun1_polysomes_3	N2
