Run	Condition	title	developmental_stage	source_name
SRR10904055	SRR10904055	N2_1	midembryonic cells	embryo
SRR10904056	SRR10904056	N2_2	midembryonic cells	embryo
SRR10904057	SRR10904057	N2_3	midembryonic cells	embryo
SRR10904058	SRR10904058	set-2(tm1630)_1	midembryonic cells	embryo
SRR10904060	SRR10904060	set-2(tm1630)_3	midembryonic cells	embryo
SRR10904061	SRR10904061	2N2_1	midembryonic cells	embryo
SRR10904062	SRR10904062	2N2_2	midembryonic cells	embryo
SRR10904063	SRR10904063	2N2_3	midembryonic cells	embryo
SRR10904064	SRR10904064	2set-2(zr2012)_1	midembryonic cells	embryo
SRR10904065	SRR10904065	2set-2(zr2012)_2	midembryonic cells	embryo
SRR10904066	SRR10904066	2set-2(zr2012)_3	midembryonic cells	embryo
