Run	Condition	title	developmental_stage	source_name	strain_strain_background
SRR10950516	SRR10950516	WT_1	L4	C. elegans (whole animal)	AX204
SRR10950517	SRR10950517	WT_2	L4	C. elegans (whole animal)	AX204
SRR10950518	SRR10950518	WT_3	L4	C. elegans (whole animal)	AX204
SRR10950519	SRR10950519	WT_4	L4	C. elegans (whole animal)	AX204
SRR10950520	SRR10950520	WT_5	L4	C. elegans (whole animal)	AX204
SRR10950521	SRR10950521	WT_6	L4	C. elegans (whole animal)	AX204
SRR10950522	SRR10950522	WT_7	L4	C. elegans (whole animal)	AX204
SRR10950523	SRR10950523	WT_8	L4	C. elegans (whole animal)	AX204
SRR10950524	SRR10950524	WT_9	L4	C. elegans (whole animal)	AX204
SRR10950525	SRR10950525	WT_10	L4	C. elegans (whole animal)	AX204
SRR10950526	SRR10950526	WT_11	L4	C. elegans (whole animal)	AX204
SRR10950527	SRR10950527	WT_12	L4	C. elegans (whole animal)	AX204
SRR10950528	SRR10950528	WT_13	L4	C. elegans (whole animal)	AX204
SRR10950529	SRR10950529	WT_14	L4	C. elegans (whole animal)	AX204
SRR10950530	SRR10950530	WT_15	L4	C. elegans (whole animal)	AX204
SRR10950531	SRR10950531	WT_16	L4	C. elegans (whole animal)	AX204
SRR10950532	SRR10950532	WT_17	L4	C. elegans (whole animal)	AX204
SRR10950533	SRR10950533	WT_18	L4	C. elegans (whole animal)	AX204
SRR10950534	SRR10950534	Malt-1_1	L4	C. elegans (whole animal)	AX204
SRR10950535	SRR10950535	Malt-1_2	L4	C. elegans (whole animal)	AX204
SRR10950536	SRR10950536	Malt-1_3	L4	C. elegans (whole animal)	AX204
SRR10950537	SRR10950537	Malt-1_4	L4	C. elegans (whole animal)	AX204
SRR10950538	SRR10950538	Malt-1_5	L4	C. elegans (whole animal)	AX204
SRR10950539	SRR10950539	Malt-1_6	L4	C. elegans (whole animal)	AX204
SRR10950540	SRR10950540	Malt-1_7	L4	C. elegans (whole animal)	AX204
SRR10950541	SRR10950541	Malt-1_8	L4	C. elegans (whole animal)	AX204
SRR10950542	SRR10950542	Malt-1_9	L4	C. elegans (whole animal)	AX204
SRR10950543	SRR10950543	Malt-1_10	L4	C. elegans (whole animal)	AX204
SRR10950544	SRR10950544	Malt-1_11	L4	C. elegans (whole animal)	AX204
SRR10950545	SRR10950545	Malt-1_12	L4	C. elegans (whole animal)	AX204
SRR10950546	SRR10950546	Malt-1_13	L4	C. elegans (whole animal)	AX204
SRR10950547	SRR10950547	Malt-1_14	L4	C. elegans (whole animal)	AX204
SRR10950548	SRR10950548	Malt-1_15	L4	C. elegans (whole animal)	AX204
SRR10950549	SRR10950549	Malt-1_16	L4	C. elegans (whole animal)	AX204
SRR10950550	SRR10950550	Malt-1_17	L4	C. elegans (whole animal)	AX204
SRR10950551	SRR10950551	Malt-1_18	L4	C. elegans (whole animal)	AX204
SRR10950552	SRR10950552	Ilc17_1	L4	C. elegans (whole animal)	AX204
SRR10950553	SRR10950553	Ilc17_2	L4	C. elegans (whole animal)	AX204
SRR10950554	SRR10950554	Ilc17_3	L4	C. elegans (whole animal)	AX204
SRR10950555	SRR10950555	Ilc17_4	L4	C. elegans (whole animal)	AX204
SRR10950556	SRR10950556	Ilc17_5	L4	C. elegans (whole animal)	AX204
SRR10950557	SRR10950557	Ilc17_6	L4	C. elegans (whole animal)	AX204
SRR10950558	SRR10950558	Ilc17_7	L4	C. elegans (whole animal)	AX204
SRR10950559	SRR10950559	Ilc17_8	L4	C. elegans (whole animal)	AX204
SRR10950560	SRR10950560	Ilc17_9	L4	C. elegans (whole animal)	AX204
SRR10950561	SRR10950561	Ilc17_10	L4	C. elegans (whole animal)	AX204
SRR10950562	SRR10950562	Ilc17_11	L4	C. elegans (whole animal)	AX204
SRR10950563	SRR10950563	Ilc17_12	L4	C. elegans (whole animal)	AX204
SRR10950564	SRR10950564	Ilc17_13	L4	C. elegans (whole animal)	AX204
SRR10950565	SRR10950565	Ilc17_14	L4	C. elegans (whole animal)	AX204
SRR10950566	SRR10950566	Ilc17_15	L4	C. elegans (whole animal)	AX204
SRR10950567	SRR10950567	Ilc17_4_2	L4	C. elegans (whole animal)	AX204
SRR10950568	SRR10950568	Ilc17_5_2	L4	C. elegans (whole animal)	AX204
SRR10950569	SRR10950569	Ilc17_6_2	L4	C. elegans (whole animal)	AX204
SRR10950570	SRR10950570	Nfki1_1	L4	C. elegans (whole animal)	AX204
SRR10950571	SRR10950571	Nfki1_2	L4	C. elegans (whole animal)	AX204
SRR10950572	SRR10950572	Nfki1_3	L4	C. elegans (whole animal)	AX204
SRR10950573	SRR10950573	Nfki1_4	L4	C. elegans (whole animal)	AX204
SRR10950574	SRR10950574	Nfki1_5	L4	C. elegans (whole animal)	AX204
SRR10950575	SRR10950575	Nfki1_6	L4	C. elegans (whole animal)	AX204
SRR10950576	SRR10950576	Nfki1_7	L4	C. elegans (whole animal)	AX204
SRR10950577	SRR10950577	Nfki1_8	L4	C. elegans (whole animal)	AX204
SRR10950578	SRR10950578	Nfki1_9	L4	C. elegans (whole animal)	AX204
SRR10950579	SRR10950579	Nfki1_10	L4	C. elegans (whole animal)	AX204
SRR10950580	SRR10950580	Nfki1_11	L4	C. elegans (whole animal)	AX204
SRR10950581	SRR10950581	Nfki1_12	L4	C. elegans (whole animal)	AX204
SRR10950582	SRR10950582	Nfki1_13	L4	C. elegans (whole animal)	AX204
SRR10950583	SRR10950583	Nfki1_14	L4	C. elegans (whole animal)	AX204
SRR10950584	SRR10950584	Nfki1_15	L4	C. elegans (whole animal)	AX204
SRR10950585	SRR10950585	Nfki1_16	L4	C. elegans (whole animal)	AX204
SRR10950586	SRR10950586	Nfki1_17	L4	C. elegans (whole animal)	AX204
SRR10950587	SRR10950587	Nfki1_18	L4	C. elegans (whole animal)	AX204
