Run	Condition	strain	title	developmental_stage	molecule_subtype	source_name
SRR12478555	SRR12478555	USC1332 - eri-6[e-f]{delta}(cmp261) I	eri-6[e-f]_mRNA_1	Day 1 Adult	mRNA selected from total RNA	whole animal
SRR12478556	SRR12478556	USC1332 - eri-6[e-f]{delta}(cmp261) I	eri-6[e-f]_mRNA_2	Day 1 Adult	mRNA selected from total RNA	whole animal
SRR12478557	SRR12478557	USC1332 - eri-6[e-f]{delta}(cmp261) I	eri-6[e-f]_mRNA_3	Day 1 Adult	mRNA selected from total RNA	whole animal
SRR12478558	SRR12478558	USC1333 - eri-6[e-f]{delta}(cmp261) mut-16(pk710) I	eri-6[e-f]_mut-16_mRNA_1	Day 1 Adult	mRNA selected from total RNA	whole animal
SRR12478559	SRR12478559	USC1333 - eri-6[e-f]{delta}(cmp261) mut-16(pk710) I	eri-6[e-f]_mut-16_mRNA_2	Day 1 Adult	mRNA selected from total RNA	whole animal
SRR12478560	SRR12478560	USC1333 - eri-6[e-f]{delta}(cmp261) mut-16(pk710) I	eri-6[e-f]_mut-16_mRNA_3	Day 1 Adult	mRNA selected from total RNA	whole animal
SRR12478561	SRR12478561	USC1335 - sosi-1{delta}(cmp262) I	sosi-1_mRNA_1	Day 1 Adult	mRNA selected from total RNA	whole animal
SRR12478562	SRR12478562	USC1335 - sosi-1{delta}(cmp262) I	sosi-1_mRNA_2	Day 1 Adult	mRNA selected from total RNA	whole animal
SRR12478563	SRR12478563	USC1335 - sosi-1{delta}(cmp262) I	sosi-1_mRNA_3	Day 1 Adult	mRNA selected from total RNA	whole animal
SRR12478564	SRR12478564	USC1337 - sosi-1{delta}(cmp262) mut-16(pk710) I	sosi-1_mut-16_mRNA_1	Day 1 Adult	mRNA selected from total RNA	whole animal
SRR12478565	SRR12478565	USC1337 - sosi-1{delta}(cmp262) mut-16(pk710) I	sosi-1_mut-16_mRNA_2	Day 1 Adult	mRNA selected from total RNA	whole animal
SRR12478566	SRR12478566	USC1337 - sosi-1{delta}(cmp262) mut-16(pk710) I	sosi-1_mut-16_mRNA_3	Day 1 Adult	mRNA selected from total RNA	whole animal
SRR12478567	SRR12478567	USC1338 - sosi-1{delta} eri-6[e-f]{delta}(cmp263) I	sosi-1_eri-6[e-f]_mRNA_1	Day 1 Adult	mRNA selected from total RNA	whole animal
SRR12478568	SRR12478568	USC1338 - sosi-1{delta} eri-6[e-f]{delta}(cmp263) I	sosi-1_eri-6[e-f]_mRNA_2	Day 1 Adult	mRNA selected from total RNA	whole animal
SRR12478569	SRR12478569	USC1338 - sosi-1{delta} eri-6[e-f]{delta}(cmp263) I	sosi-1_eri-6[e-f]_mRNA_3	Day 1 Adult	mRNA selected from total RNA	whole animal
SRR12478570	SRR12478570	USC1355 - sosi-1 eri-6[e-f]{delta}(cmp263) mut-16(pk710) I	sosi-1_eri-6[e-f]_mut-16_mRNA_1	Day 1 Adult	mRNA selected from total RNA	whole animal
SRR12478571	SRR12478571	USC1355 - sosi-1 eri-6[e-f]{delta}(cmp263) mut-16(pk710) I	sosi-1_eri-6[e-f]_mut-16_mRNA_2	Day 1 Adult	mRNA selected from total RNA	whole animal
SRR12478572	SRR12478572	USC1355 - sosi-1 eri-6[e-f]{delta}(cmp263) mut-16(pk710) I	sosi-1_eri-6[e-f]_mut-16_mRNA_3	Day 1 Adult	mRNA selected from total RNA	whole animal
SRR12478573	SRR12478573	USC1387 - prg-1(n4357) I; hrde-1(tm1200) III	prg-1_hrde-1_mRNA_1	Day 1 Adult	mRNA selected from total RNA	whole animal
SRR12478574	SRR12478574	USC1387 - prg-1(n4357) I; hrde-1(tm1200) III	prg-1_hrde-1_mRNA_2	Day 1 Adult	mRNA selected from total RNA	whole animal
SRR12478575	SRR12478575	USC1387 - prg-1(n4357) I; hrde-1(tm1200) III	prg-1_hrde-1_mRNA_3	Day 1 Adult	mRNA selected from total RNA	whole animal
SRR12478576	SRR12478576	USC1388 - prg-1(n4357); ergo-1(tm1860) V	prg-1_ergo-1_mRNA_1	Day 1 Adult	mRNA selected from total RNA	whole animal
SRR12478577	SRR12478577	USC1388 - prg-1(n4357); ergo-1(tm1860) V	prg-1_ergo-1_mRNA_2	Day 1 Adult	mRNA selected from total RNA	whole animal
SRR12478578	SRR12478578	USC1388 - prg-1(n4357); ergo-1(tm1860) V	prg-1_ergo-1_mRNA_3	Day 1 Adult	mRNA selected from total RNA	whole animal
