Run	Condition	genotype	strain	title	developmental_stage	organism_part	source_name
SRR11928889	SRR11928889	wwIs24[Pacdh-1::GFP;unc-119(+)]	VL749	WT_soy_rep1	L4	whole organism	whole animal
SRR11928890	SRR11928890	wwIs24[Pacdh-1::GFP;unc-119(+)]	VL749	WT_soy_rep2	L4	whole organism	whole animal
SRR11928892	SRR11928892	wwIs24[Pacdh-1::GFP;unc-119(+)]	VL749	WT_soy_Met_rep2	L4	whole organism	whole animal
SRR11928893	SRR11928893	wwIs24[Pacdh-1::GFP;unc-119(+)];nhr-114(gk849)	VL1127	∆nhr-114_soy_rep1	L4	whole organism	whole animal
SRR11928894	SRR11928894	wwIs24[Pacdh-1::GFP;unc-119(+)];nhr-114(gk849)	VL1127	∆nhr-114_soy_rep2	L4	whole organism	whole animal
SRR11928895	SRR11928895	wwIs24[Pacdh-1::GFP;unc-119(+)];nhr-114(gk849)	VL1127	∆nhr-114_soy_Met_rep1	L4	whole organism	whole animal
SRR11928896	SRR11928896	wwIs24[Pacdh-1::GFP;unc-119(+)];nhr-114(gk849)	VL1127	∆nhr-114_soy_Met_rep2	L4	whole organism	whole animal
SRR11928897	SRR11928897	wwIs24[Pacdh-1::GFP;unc-119(+)]	VL749	WT_vector_rep1	L4	whole organism	whole animal
SRR11928898	SRR11928898	wwIs24[Pacdh-1::GFP;unc-119(+)]	VL749	WT_vector_rep2	L4	whole organism	whole animal
SRR11928899	SRR11928899	wwIs24[Pacdh-1::GFP;unc-119(+)]	VL749	WT_nhr-114_RNAi_rep1	L4	whole organism	whole animal
SRR11928900	SRR11928900	wwIs24[Pacdh-1::GFP;unc-119(+)]	VL749	WT_nhr-114_RNAi_rep2	L4	whole organism	whole animal
SRR11928901	SRR11928901	wwIs24[Pacdh-1::GFP;unc-119(+)];metr-1(ok521)	VL1102	∆metr-1_vector_rep1	L4	whole organism	whole animal
SRR11928902	SRR11928902	wwIs24[Pacdh-1::GFP;unc-119(+)];metr-1(ok521)	VL1102	∆metr-1_vector_rep2	L4	whole organism	whole animal
SRR11928903	SRR11928903	wwIs24[Pacdh-1::GFP;unc-119(+)];metr-1(ok521)	VL1102	∆metr-1_nhr114_RNAi_rep1	L4	whole organism	whole animal
SRR11928904	SRR11928904	wwIs24[Pacdh-1::GFP;unc-119(+)];metr-1(ok521)	VL1102	∆metr-1_nhr114_RNAi_rep2	L4	whole organism	whole animal
SRR11928905	SRR11928905	wwIs24[Pacdh-1::GFP;unc-119(+)];nhr-10(tm4695);metr-1(ww52)	VL1201	metr-1(ww52)_vector_rep1	L4	whole organism	whole animal
SRR11928906	SRR11928906	wwIs24[Pacdh-1::GFP;unc-119(+)];nhr-10(tm4695);metr-1(ww52)	VL1201	metr-1(ww52)_vector_rep2	L4	whole organism	whole animal
SRR11928907	SRR11928907	wwIs24[Pacdh-1::GFP;unc-119(+)];nhr-10(tm4695);metr-1(ww52)	VL1201	metr-1(ww52)_nhr114_RNAi_rep1	L4	whole organism	whole animal
