Run	Condition	developmental_stage	strain	title	sample_type	source_name
SRR11937785	SRR11937785	50 hr after hatching	BB76	N2- adult neural cells rep1	Rab-3 driven GFP expressed neural cells	Neural cells
SRR11937786	SRR11937786	50 hr after hatching	BB76	N2- adult neural cells rep2	Rab-3 driven GFP expressed neural cells	Neural cells
SRR11937787	SRR11937787	50 hr after hatching	BB76	N2- adult neural cells rep3	Rab-3 driven GFP expressed neural cells	Neural cells
SRR11937788	SRR11937788	50 hr after hatching	BB76	N2- adult neural cells rep4	Rab-3 driven GFP expressed neural cells	Neural cells
SRR11937789	SRR11937789	50 hr after hatching	BB78	adr-2- adult neural cells rep1	Rab-3 driven GFP expressed neural cells	Neural cells
SRR11937790	SRR11937790	50 hr after hatching	BB78	adr-2- adult neural cells rep2	Rab-3 driven GFP expressed neural cells	Neural cells
SRR11937791	SRR11937791	50 hr after hatching	BB78	adr-2- adult neural cells rep3	Rab-3 driven GFP expressed neural cells	Neural cells
SRR11937792	SRR11937792	50 hr after hatching	BB77	adr-1-adult neural cells rep1	Rab-3 driven GFP expressed neural cells	Neural cells
SRR11937793	SRR11937793	50 hr after hatching	BB77	adr-1-adult neural cells rep2	Rab-3 driven GFP expressed neural cells	Neural cells
SRR11937794	SRR11937794	50 hr after hatching	BB77	adr-1-adult neural cells rep3	Rab-3 driven GFP expressed neural cells	Neural cells
SRR11937795	SRR11937795	50 hr after hatching	BB77	adr-1-adult neural cells rep4	Rab-3 driven GFP expressed neural cells	Neural cells
SRR11937796	SRR11937796	6 hr after hatching	BB76	N2- L1 neural cells rep1	Rab-3 driven GFP expressed neural cells	Neural cells
SRR11937797	SRR11937797	6 hr after hatching	BB76	N2- L1 neural cells rep2	Rab-3 driven GFP expressed neural cells	Neural cells
SRR11937798	SRR11937798	6 hr after hatching	BB76	N2- L1 neural cells rep3	Rab-3 driven GFP expressed neural cells	Neural cells
SRR11937799	SRR11937799	6 hr after hatching	BB78	adr-2- L1 neural cells rep1	Rab-3 driven GFP expressed neural cells	Neural cells
SRR11937800	SRR11937800	6 hr after hatching	BB78	adr-2- L1 neural cells rep2	Rab-3 driven GFP expressed neural cells	Neural cells
SRR11937801	SRR11937801	6 hr after hatching	BB78	adr-2- L1 neural cells rep3	Rab-3 driven GFP expressed neural cells	Neural cells
SRR11937802	SRR11937802	6 hr after hatching	BB77	adr-1- L1 neural cells	Rab-3 driven GFP expressed neural cells	Neural cells
