Run	Sample	Condition	culture_condition_o2_level	organism_part	source_name	title	developmental_stage	genotype	sex	strain
SRR12034910	SAMN15298719	SAMN15298719	O2_21	whole organism	Whole-worm	WW21_D1_4	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034911	SAMN15298719	SAMN15298719	O2_21	whole organism	Whole-worm	WW21_D1_4	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034906	SAMN15298720	SAMN15298720	O2_21	whole organism	Whole-worm	WW21_D1_3	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034907	SAMN15298720	SAMN15298720	O2_21	whole organism	Whole-worm	WW21_D1_3	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034903	SAMN15298721	SAMN15298721	O2_21	whole organism	Whole-worm	WW21_D1_2	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034904	SAMN15298721	SAMN15298721	O2_21	whole organism	Whole-worm	WW21_D1_2	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034905	SAMN15298721	SAMN15298721	O2_21	whole organism	Whole-worm	WW21_D1_2	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034900	SAMN15298722	SAMN15298722	O2_21	whole organism	Whole-worm	WW21_D1_1	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034901	SAMN15298722	SAMN15298722	O2_21	whole organism	Whole-worm	WW21_D1_1	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034902	SAMN15298722	SAMN15298722	O2_21	whole organism	Whole-worm	WW21_D1_1	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034993	SAMN15298731	SAMN15298731	O2_7	o2-sensing neurons	sensory neurons	GFP7_D7_4	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034994	SAMN15298731	SAMN15298731	O2_7	o2-sensing neurons	sensory neurons	GFP7_D7_4	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034995	SAMN15298731	SAMN15298731	O2_7	o2-sensing neurons	sensory neurons	GFP7_D7_4	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034991	SAMN15298733	SAMN15298733	O2_7	o2-sensing neurons	sensory neurons	GFP7_D7_3	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034992	SAMN15298733	SAMN15298733	O2_7	o2-sensing neurons	sensory neurons	GFP7_D7_3	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034987	SAMN15298734	SAMN15298734	O2_7	o2-sensing neurons	sensory neurons	GFP7_D7_2	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034988	SAMN15298734	SAMN15298734	O2_7	o2-sensing neurons	sensory neurons	GFP7_D7_2	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034989	SAMN15298734	SAMN15298734	O2_7	o2-sensing neurons	sensory neurons	GFP7_D7_2	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034984	SAMN15298735	SAMN15298735	O2_7	o2-sensing neurons	sensory neurons	GFP7_D7_1	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034985	SAMN15298735	SAMN15298735	O2_7	o2-sensing neurons	sensory neurons	GFP7_D7_1	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
SRR12034986	SAMN15298735	SAMN15298735	O2_7	o2-sensing neurons	sensory neurons	GFP7_D7_1	adult	npr-1(ad609) X; iaIs25[Pgcy-37::GFP + unc-119(+)]	hermaphrodite	KL123
