Run	Condition	title	treatment	genotype	organism_part	source_name	strain
SRR12047107	SRR12047107	WT L4 worms fed HB101_rep1	HB101	wild type	whole organism	L4 WT C elegans - whole animal	N2 Bristol
SRR12047110	SRR12047110	WT L4 worms fed HB101_rep4	HB101	wild type	whole organism	L4 WT C elegans - whole animal	N2 Bristol
SRR12047111	SRR12047111	WT L4 worms fed HT115_rep1	HT115	wild type	whole organism	L4 WT C elegans - whole animal	N2 Bristol
SRR12047112	SRR12047112	WT L4 worms fed HT115_rep2	HT115	wild type	whole organism	L4 WT C elegans - whole animal	N2 Bristol
SRR12047113	SRR12047113	WT L4 worms fed HT115_rep3	HT115	wild type	whole organism	L4 WT C elegans - whole animal	N2 Bristol
SRR12047114	SRR12047114	WT L4 worms fed HT115_rep4	HT115	wild type	whole organism	L4 WT C elegans - whole animal	N2 Bristol
SRR12047115	SRR12047115	WT L4 worms fed OP50_rep1	OP50 (control)	wild type	whole organism	L4 WT C elegans - whole animal	N2 Bristol
SRR12047116	SRR12047116	WT L4 worms fed OP50_rep2	OP50 (control)	wild type	whole organism	L4 WT C elegans - whole animal	N2 Bristol
SRR12047117	SRR12047117	WT L4 worms fed OP50_rep3	OP50 (control)	wild type	whole organism	L4 WT C elegans - whole animal	N2 Bristol
SRR12047118	SRR12047118	WT L4 worms fed OP50_rep4	OP50 (control)	wild type	whole organism	L4 WT C elegans - whole animal	N2 Bristol
SRR12047119	SRR12047119	WT L4 worms fed Xanthomonas_rep1	Xanthomonas	wild type	whole organism	L4 WT C elegans - whole animal	N2 Bristol
SRR12047120	SRR12047120	WT L4 worms fed Xanthomonas_rep2	Xanthomonas	wild type	whole organism	L4 WT C elegans - whole animal	N2 Bristol
SRR12047121	SRR12047121	WT L4 worms fed Xanthomonas_rep3	Xanthomonas	wild type	whole organism	L4 WT C elegans - whole animal	N2 Bristol
SRR12047122	SRR12047122	WT L4 worms fed Xanthomonas_rep4	Xanthomonas	wild type	whole organism	L4 WT C elegans - whole animal	N2 Bristol
SRR12047123	SRR12047123	WT L4 worms fed Methylobacterium_rep1	Methylobacterium	wild type	whole organism	L4 WT C elegans - whole animal	N2 Bristol
SRR12047124	SRR12047124	WT L4 worms fed Methylobacterium_rep2	Methylobacterium	wild type	whole organism	L4 WT C elegans - whole animal	N2 Bristol
SRR12047125	SRR12047125	WT L4 worms fed Methylobacterium_rep3	Methylobacterium	wild type	whole organism	L4 WT C elegans - whole animal	N2 Bristol
SRR12047126	SRR12047126	WT L4 worms fed Methylobacterium_rep4	Methylobacterium	wild type	whole organism	L4 WT C elegans - whole animal	N2 Bristol
SRR12047127	SRR12047127	WT L4 worms fed Sphingomonas_rep1	Sphingomonas	wild type	whole organism	L4 WT C elegans - whole animal	N2 Bristol
SRR12047128	SRR12047128	WT L4 worms fed Sphingomonas_rep2	Sphingomonas	wild type	whole organism	L4 WT C elegans - whole animal	N2 Bristol
SRR12047129	SRR12047129	WT L4 worms fed Sphingomonas_rep3	Sphingomonas	wild type	whole organism	L4 WT C elegans - whole animal	N2 Bristol
SRR12047130	SRR12047130	WT L4 worms fed Sphingomonas_rep4	Sphingomonas	wild type	whole organism	L4 WT C elegans - whole animal	N2 Bristol
