Run	Condition	growth_temperature	sample_id	source_name	strain	title	developmental_stage	organism_part
SRR12331787	SRR12331787	25°C	rCG014	N2 (Bristol)_whole worm	N2 (Bristol)	N2_rep1	starved L1	whole organism
SRR12331788	SRR12331788	25°C	rCG015	N2 (Bristol)_whole worm	N2 (Bristol)	N2_rep2	starved L1	whole organism
SRR12331789	SRR12331789	25°C	rCG071	N2 (Bristol)_whole worm	N2 (Bristol)	N2_rep3	starved L1	whole organism
SRR12331790	SRR12331790	26°C	rCG048	N2 (Bristol)_whole worm	N2 (Bristol)	N2_26C_rep1	starved L1	whole organism
SRR12331791	SRR12331791	26°C	rCG049	N2 (Bristol)_whole worm	N2 (Bristol)	N2_26C_rep2	starved L1	whole organism
SRR12331792	SRR12331792	25°C	rCG020	lin-35 (n745)_whole worm	lin-35 (n745)	lin35_rep1	starved L1	whole organism
SRR12331793	SRR12331793	25°C	rCG019	lin-35 (n745)_whole worm	lin-35 (n745)	lin35_rep2	starved L1	whole organism
SRR12331794	SRR12331794	25°C	rCG025	lin-35 (n745)_whole worm	lin-35 (n745)	lin35_rep3	starved L1	whole organism
SRR12331795	SRR12331795	25°C	rCG072	lin-35 (n745)_whole worm	lin-35 (n745)	lin35_rep4	starved L1	whole organism
SRR12331796	SRR12331796	25°C	rCG016	lin-36 (n766)_whole worm	lin-36 (n766)	lin36PM_rep1	starved L1	whole organism
SRR12331797	SRR12331797	25°C	rCG021	lin-36 (n766)_whole worm	lin-36 (n766)	lin36PM_rep2	starved L1	whole organism
SRR12331798	SRR12331798	25°C	rCG074	lin-36 (n766)_whole worm	lin-36 (n766)	lin36PM_rep3	starved L1	whole organism
SRR12331799	SRR12331799	25°C	rCC003	lin-36 (we36)_whole worm	lin-36 (we36)	lin36full_rep1	starved L1	whole organism
SRR12331800	SRR12331800	25°C	rCC004	lin-36 (we36)_whole worm	lin-36 (we36)	lin36full_rep2	starved L1	whole organism
SRR12331801	SRR12331801	25°C	rCG083	lin-36 (we36)_whole worm	lin-36 (we36)	lin36full_rep3	starved L1	whole organism
SRR12331802	SRR12331802	25°C	rCG079	lin-36 (we31)_whole worm	lin-36 (we31)	lin36THAPdel_rep1	starved L1	whole organism
SRR12331803	SRR12331803	25°C	rCG080	lin-36 (we31)_whole worm	lin-36 (we31)	lin36THAPdel_rep2	starved L1	whole organism
SRR12331804	SRR12331804	25°C	rCG082	lin-36 (we31)_whole worm	lin-36 (we31)	lin36THAPdel_rep3	starved L1	whole organism
SRR12331805	SRR12331805	25°C	rCG043	lin-15B (n744)_whole worm	lin-15B (n744)	lin15B_rep1	starved L1	whole organism
SRR12331806	SRR12331806	25°C	rCG073	lin-15B (n744)_whole worm	lin-15B (n744)	lin15B_rep2	starved L1	whole organism
SRR12331807	SRR12331807	25°C	rCG077	lin-15B (we23)_whole worm	lin-15B (we23)	lin15BTHAPdel_rep1	starved L1	whole organism
SRR12331810	SRR12331810	25°C	rCG061	lin-37 (n758)_whole worm	lin-37 (n758)	lin37_rep1	starved L1	whole organism
SRR12331811	SRR12331811	25°C	rCG062	lin-37 (n758)_whole worm	lin-37 (n758)	lin37_rep2	starved L1	whole organism
SRR12331812	SRR12331812	25°C	rCG055	dpl-1 (n2994)_whole worm	dpl-1 (n2994)	dpl1_rep1	starved L1	whole organism
SRR12331813	SRR12331813	25°C	rCG056	dpl-1 (n2994)_whole worm	dpl-1 (n2994)	dpl1_rep2	starved L1	whole organism
SRR12331814	SRR12331814	25°C	rCG084	met-2 (n4256)_whole worm	met-2 (n4256)	met2_rep1	starved L1	whole organism
SRR12331815	SRR12331815	25°C	rCG086	met-2 (n4256)_whole worm	met-2 (n4256)	met2_rep2	starved L1	whole organism
SRR12331816	SRR12331816	26°C	rCG052	efl-1 (se1)_whole worm	efl-1 (se1)	efl1_rep1	starved L1	whole organism
SRR12331817	SRR12331817	26°C	rCG051	efl-1 (se1)_whole worm	efl-1 (se1)	efl1_rep2	starved L1	whole organism
