Run	Condition	developmental_stage	sample_name	strain	organism_part	sex	title
SRR12398635	GOU2348_1	L1	GOU2348_1	GOU2348	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398674	GOU2348_2	L1	GOU2348_2	GOU2348	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398673	GOU2348_3	L1	GOU2348_3	GOU2348	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398667	GOU2387_1	L1	GOU2387_1	GOU2387	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398666	GOU2387_2	L1	GOU2387_2	GOU2387	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398665	GOU2387_3	L1	GOU2387_3	GOU2387	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398663	GOU2422_1	L1	GOU2422_1	GOU2422	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398662	GOU2955_1	L1	GOU2955_1	GOU2955	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398649	GOU3593_1	L1	GOU3593_1	GOU3593	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398648	GOU3593_2	L1	GOU3593_2	GOU3593	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398647	GOU3593_3	L1	GOU3593_3	GOU3593	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398652	GOU3806_1	L4	GOU3806_1	GOU3806	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398651	GOU3806_2	L4	GOU3806_2	GOU3806	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398650	GOU3806_3	L4	GOU3806_3	GOU3806	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398658	GOU3857_1	L1	GOU3857_1	GOU3857	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398657	GOU3857_2	L1	GOU3857_2	GOU3857	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398656	GOU3857_3	L1	GOU3857_3	GOU3857	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398672	GOU4501_1	L1	GOU4501_1	GOU4501	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398671	GOU4502_1	L1	GOU4502_1	GOU4502	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398670	GOU4502_2	L1	GOU4502_2	GOU4502	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398669	GOU4503_1	L1	GOU4503_1	GOU4503	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398668	GOU4504_1	L1	GOU4504_1	GOU4504	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398661	GOU4513_1	L1	GOU4513_1	GOU4513	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398660	GOU4513_2	L1	GOU4513_2	GOU4513	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398659	GOU4513_3	L1	GOU4513_3	GOU4513	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398655	GOU4520_1	L4	GOU4520_1	GOU4520	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398654	GOU4520_2	L4	GOU4520_2	GOU4520	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398646	GOU4580_1	L4	GOU4580_1	GOU4580	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398645	GOU4580_2	L4	GOU4580_2	GOU4580	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398644	GOU4580_3	L4	GOU4580_3	GOU4580	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398643	GOU4581_1	L4	GOU4581_1	GOU4581	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398641	GOU4581_2	L4	GOU4581_2	GOU4581	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398640	GOU4581_3	L4	GOU4581_3	GOU4581	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398676	N2_1	L1	N2_1	N2	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398675	N2_2	L1	N2_2	N2	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398664	N2_3	L1	N2_3	N2	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398638	SP1745_1	L1	SP1745_1	SP1745	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398637	SP1745_2	L1	SP1745_2	SP1745	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398636	SP1745_3	L1	SP1745_3	SP1745	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398653	cas501_1	L1	cas501_1	cas501	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398642	cas501_2	L1	cas501_2	cas501	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
SRR12398639	cas501_3	L1	cas501_3	cas501	whole organism	hermaphrodite	Model organism or animal sample from Caenorhabditis elegans
