Run	Sample	Condition	genotype	source_name	strain	title	developmental_stage	organism_part
SRR12672445	SAMN16213036	SAMN16213036	fhod-1(tm2363)	L3 stage RW364 C. elegans larvae	XA8001	XA8001-N_S12	L3	larvae
SRR12672446	SAMN16213036	SAMN16213036	fhod-1(tm2363)	L3 stage RW364 C. elegans larvae	XA8001	XA8001-N_S12	L3	larvae
SRR12672447	SAMN16213036	SAMN16213036	fhod-1(tm2363)	L3 stage RW364 C. elegans larvae	XA8001	XA8001-N_S12	L3	larvae
SRR12672448	SAMN16213036	SAMN16213036	fhod-1(tm2363)	L3 stage RW364 C. elegans larvae	XA8001	XA8001-N_S12	L3	larvae
SRR12672441	SAMN16213038	SAMN16213038	fhod-1(tm2363)	L3 stage RW364 C. elegans larvae	XA8001	XA8001-M_S11	L3	larvae
SRR12672442	SAMN16213038	SAMN16213038	fhod-1(tm2363)	L3 stage RW364 C. elegans larvae	XA8001	XA8001-M_S11	L3	larvae
SRR12672443	SAMN16213038	SAMN16213038	fhod-1(tm2363)	L3 stage RW364 C. elegans larvae	XA8001	XA8001-M_S11	L3	larvae
SRR12672444	SAMN16213038	SAMN16213038	fhod-1(tm2363)	L3 stage RW364 C. elegans larvae	XA8001	XA8001-M_S11	L3	larvae
SRR12672437	SAMN16213039	SAMN16213039	fhod-1(tm2363)	L3 stage RW364 C. elegans larvae	XA8001	XA8001-L_S10	L3	larvae
SRR12672438	SAMN16213039	SAMN16213039	fhod-1(tm2363)	L3 stage RW364 C. elegans larvae	XA8001	XA8001-L_S10	L3	larvae
SRR12672439	SAMN16213039	SAMN16213039	fhod-1(tm2363)	L3 stage RW364 C. elegans larvae	XA8001	XA8001-L_S10	L3	larvae
SRR12672440	SAMN16213039	SAMN16213039	fhod-1(tm2363)	L3 stage RW364 C. elegans larvae	XA8001	XA8001-L_S10	L3	larvae
SRR12672433	SAMN16213041	SAMN16213041	fhod-1(tm2363)	L3 stage RW364 C. elegans larvae	XA8001	XA8001-K_S9	L3	larvae
SRR12672434	SAMN16213041	SAMN16213041	fhod-1(tm2363)	L3 stage RW364 C. elegans larvae	XA8001	XA8001-K_S9	L3	larvae
SRR12672435	SAMN16213041	SAMN16213041	fhod-1(tm2363)	L3 stage RW364 C. elegans larvae	XA8001	XA8001-K_S9	L3	larvae
SRR12672436	SAMN16213041	SAMN16213041	fhod-1(tm2363)	L3 stage RW364 C. elegans larvae	XA8001	XA8001-K_S9	L3	larvae
SRR12672429	SAMN16213042	SAMN16213042	unc-120(st364)	L3 stage XA8001 C. elegans larvae	RW364	RW364-N_S8	L3	larvae
SRR12672430	SAMN16213042	SAMN16213042	unc-120(st364)	L3 stage XA8001 C. elegans larvae	RW364	RW364-N_S8	L3	larvae
SRR12672431	SAMN16213042	SAMN16213042	unc-120(st364)	L3 stage XA8001 C. elegans larvae	RW364	RW364-N_S8	L3	larvae
SRR12672432	SAMN16213042	SAMN16213042	unc-120(st364)	L3 stage XA8001 C. elegans larvae	RW364	RW364-N_S8	L3	larvae
SRR12672425	SAMN16213044	SAMN16213044	unc-120(st364)	L3 stage XA8001 C. elegans larvae	RW364	RW364-M_S7	L3	larvae
SRR12672426	SAMN16213044	SAMN16213044	unc-120(st364)	L3 stage XA8001 C. elegans larvae	RW364	RW364-M_S7	L3	larvae
SRR12672427	SAMN16213044	SAMN16213044	unc-120(st364)	L3 stage XA8001 C. elegans larvae	RW364	RW364-M_S7	L3	larvae
SRR12672428	SAMN16213044	SAMN16213044	unc-120(st364)	L3 stage XA8001 C. elegans larvae	RW364	RW364-M_S7	L3	larvae
SRR12672421	SAMN16213045	SAMN16213045	unc-120(st364)	L3 stage XA8001 C. elegans larvae	RW364	RW364-L_S6	L3	larvae
SRR12672422	SAMN16213045	SAMN16213045	unc-120(st364)	L3 stage XA8001 C. elegans larvae	RW364	RW364-L_S6	L3	larvae
SRR12672423	SAMN16213045	SAMN16213045	unc-120(st364)	L3 stage XA8001 C. elegans larvae	RW364	RW364-L_S6	L3	larvae
SRR12672424	SAMN16213045	SAMN16213045	unc-120(st364)	L3 stage XA8001 C. elegans larvae	RW364	RW364-L_S6	L3	larvae
SRR12672417	SAMN16213047	SAMN16213047	unc-120(st364)	L3 stage XA8001 C. elegans larvae	RW364	RW364-K_S5	L3	larvae
SRR12672418	SAMN16213047	SAMN16213047	unc-120(st364)	L3 stage XA8001 C. elegans larvae	RW364	RW364-K_S5	L3	larvae
SRR12672419	SAMN16213047	SAMN16213047	unc-120(st364)	L3 stage XA8001 C. elegans larvae	RW364	RW364-K_S5	L3	larvae
SRR12672420	SAMN16213047	SAMN16213047	unc-120(st364)	L3 stage XA8001 C. elegans larvae	RW364	RW364-K_S5	L3	larvae
SRR12672413	SAMN16213048	SAMN16213048	wild type	L3 stage N2 C. elegans larvae	N2	N2-N_S4	L3	larvae
SRR12672414	SAMN16213048	SAMN16213048	wild type	L3 stage N2 C. elegans larvae	N2	N2-N_S4	L3	larvae
SRR12672415	SAMN16213048	SAMN16213048	wild type	L3 stage N2 C. elegans larvae	N2	N2-N_S4	L3	larvae
SRR12672416	SAMN16213048	SAMN16213048	wild type	L3 stage N2 C. elegans larvae	N2	N2-N_S4	L3	larvae
