Run	Condition	developmental_stage	organism_part	sample_name	sex	strain	title
SRR12687479	RNAseq_OP_PA_fadE2_24_48h	adult	whole organism	RNAseq_OP_PA_fadE2_24_48h	hermaphrodite	fer-1	RNAseq of C. elegans
SRR12687480	RNAseq_OP_PA_fadE2_24_48h	adult	whole organism	RNAseq_OP_PA_fadE2_24_48h	hermaphrodite	fer-1	RNAseq of C. elegans
SRR12687481	RNAseq_OP_PA_fadE2_24_48h	adult	whole organism	RNAseq_OP_PA_fadE2_24_48h	hermaphrodite	fer-1	RNAseq of C. elegans
SRR12687482	RNAseq_OP_PA_fadE2_24_48h	adult	whole organism	RNAseq_OP_PA_fadE2_24_48h	hermaphrodite	fer-1	RNAseq of C. elegans
SRR12687483	RNAseq_OP_PA_fadE2_24_48h	adult	whole organism	RNAseq_OP_PA_fadE2_24_48h	hermaphrodite	fer-1	RNAseq of C. elegans
SRR12687484	RNAseq_OP_PA_fadE2_24_48h	adult	whole organism	RNAseq_OP_PA_fadE2_24_48h	hermaphrodite	fer-1	RNAseq of C. elegans
SRR12687485	RNAseq_OP_PA_fadE2_24_48h	adult	whole organism	RNAseq_OP_PA_fadE2_24_48h	hermaphrodite	fer-1	RNAseq of C. elegans
SRR12687486	RNAseq_OP_PA_fadE2_24_48h	adult	whole organism	RNAseq_OP_PA_fadE2_24_48h	hermaphrodite	fer-1	RNAseq of C. elegans
SRR12687487	RNAseq_OP_PA_fadE2_24_48h	adult	whole organism	RNAseq_OP_PA_fadE2_24_48h	hermaphrodite	fer-1	RNAseq of C. elegans
SRR12687488	RNAseq_OP_PA_fadE2_24_48h	adult	whole organism	RNAseq_OP_PA_fadE2_24_48h	hermaphrodite	fer-1	RNAseq of C. elegans
SRR12687489	RNAseq_OP_PA_fadE2_24_48h	adult	whole organism	RNAseq_OP_PA_fadE2_24_48h	hermaphrodite	fer-1	RNAseq of C. elegans
SRR12687490	RNAseq_OP_PA_fadE2_24_48h	adult	whole organism	RNAseq_OP_PA_fadE2_24_48h	hermaphrodite	fer-1	RNAseq of C. elegans
SRR12687491	RNAseq_OP_PA_fadE2_24_48h	adult	whole organism	RNAseq_OP_PA_fadE2_24_48h	hermaphrodite	fer-1	RNAseq of C. elegans
SRR12687492	RNAseq_OP_PA_fadE2_24_48h	adult	whole organism	RNAseq_OP_PA_fadE2_24_48h	hermaphrodite	fer-1	RNAseq of C. elegans
SRR12687493	RNAseq_OP_PA_fadE2_24_48h	adult	whole organism	RNAseq_OP_PA_fadE2_24_48h	hermaphrodite	fer-1	RNAseq of C. elegans
