Run	Condition	developmental_stage	sample_name	strain	title	organism_part	sex
SRR13234568	N2_EM_1	embryo	N2_EM_1	N2	wild type embryo replicate 1	whole organism	hermaphrodite
SRR13234567	N2_EM_2	embryo	N2_EM_2	N2	wild type embryo replicate 2	whole organism	hermaphrodite
SRR13234560	N2_YD_1	young adult	N2_YD_1	N2	wild type young adult replicate 1	whole organism	hermaphrodite
SRR13234559	N2_YD_2	young adult	N2_YD_2	N2	wild type young adult replicate 2	whole organism	hermaphrodite
SRR13234564	henn-1_ parn-1_EM_1	embryo	henn-1_ parn-1_EM_1	tm4477; tm869	henn-1; parn-1 embryo replicate 1	whole organism	hermaphrodite
SRR13234563	henn-1_ parn-1_EM_2	embryo	henn-1_ parn-1_EM_2	tm4477; tm869	henn-1; parn-1 embryo replicate 2	whole organism	hermaphrodite
SRR13234562	henn-1_ parn-1_YD_1	young adult	henn-1_ parn-1_YD_1	tm4477; tm869	henn-1; parn-1 young adult replicate 1	whole organism	hermaphrodite
SRR13234558	henn-1_EM_1	embryo	henn-1_EM_1	tm4477	henn-1 embryo replicate 1	whole organism	hermaphrodite
SRR13234557	henn-1_EM_2	embryo	henn-1_EM_2	tm4477	henn-1 embryo replicate 2	whole organism	hermaphrodite
SRR13234556	henn-1_YD_1	young adult	henn-1_YD_1	tm4477	henn-1 young adult replicate 1	whole organism	hermaphrodite
SRR13234555	henn-1_YD_2	young adult	henn-1_YD_2	tm4477	henn-1 young adult replicate 2	whole organism	hermaphrodite
SRR13234561	henn-1_parn-1_YD_2	young adult	henn-1_parn-1_YD_2	tm4477; tm869	henn-1; parn-1 young adult replicate 2	whole organism	hermaphrodite
SRR13234554	parn-1_EM_1	embryo	parn-1_EM_1	tm869	parn-1 embryo replicate 1	whole organism	hermaphrodite
SRR13234553	parn-1_EM_2	embryo	parn-1_EM_2	tm869	parn-1 embryo replicate 2	whole organism	hermaphrodite
SRR13234566	parn-1_YD_1	young adult	parn-1_YD_1	tm869	parn-1 young adult replicate 1	whole organism	hermaphrodite
SRR13234565	parn-1_YD_2	young adult	parn-1_YD_2	tm869	parn-1 young adult replicate 2	whole organism	hermaphrodite
