Run	Sample	Condition	developmental_stage	larval_rearing_temperature	parental_temperature	strain
SRR1635173	SAMN03153265	20°C, Control-selected, derived from PX443	L1	20°C	30°C	Control-selected, derived from PX443
SRR1635174	SAMN03153265	20°C, Control-selected, derived from PX443	L1	20°C	30°C	Control-selected, derived from PX443
SRR1635175	SAMN03153296	20°C, Control-selected, derived from PX443	L1	20°C	30°C	Control-selected, derived from PX443
SRR1635176	SAMN03153296	20°C, Control-selected, derived from PX443	L1	20°C	30°C	Control-selected, derived from PX443
SRR1635181	SAMN03153294	20°C, Heat-selected, derived from PX443	L1	20°C	30°C	Heat-selected, derived from PX443
SRR1635182	SAMN03153294	20°C, Heat-selected, derived from PX443	L1	20°C	30°C	Heat-selected, derived from PX443
SRR1635183	SAMN03153295	20°C, Heat-selected, derived from PX443	L1	20°C	30°C	Heat-selected, derived from PX443
SRR1635184	SAMN03153295	20°C, Heat-selected, derived from PX443	L1	20°C	30°C	Heat-selected, derived from PX443
SRR1635169	SAMN03153283	20°C, PX443	L1	20°C	30°C	PX443
SRR1635170	SAMN03153293	20°C, PX443	L1	20°C	30°C	PX443
SRR1635179	SAMN03153268	30°C, Control-selected, derived from PX443	L1	30°C	30°C	Control-selected, derived from PX443
SRR1635180	SAMN03153268	30°C, Control-selected, derived from PX443	L1	30°C	30°C	Control-selected, derived from PX443
SRR1635177	SAMN03153286	30°C, Control-selected, derived from PX443	L1	30°C	30°C	Control-selected, derived from PX443
SRR1635178	SAMN03153286	30°C, Control-selected, derived from PX443	L1	30°C	30°C	Control-selected, derived from PX443
SRR1635187	SAMN03153277	30°C, Heat-selected, derived from PX443	L1	30°C	30°C	Heat-selected, derived from PX443
SRR1635188	SAMN03153277	30°C, Heat-selected, derived from PX443	L1	30°C	30°C	Heat-selected, derived from PX443
SRR1635185	SAMN03153285	30°C, Heat-selected, derived from PX443	L1	30°C	30°C	Heat-selected, derived from PX443
SRR1635186	SAMN03153285	30°C, Heat-selected, derived from PX443	L1	30°C	30°C	Heat-selected, derived from PX443
SRR1635171	SAMN03153263	30°C, PX443	L1	30°C	30°C	PX443
SRR1635172	SAMN03153276	30°C, PX443	L1	30°C	30°C	PX443
