Run	Condition	strain	developmental_stage
ERR202423	14 dpi	Lindley	
ERR407001	14 dpi		
ERR202426	21 dpi	Standard Pa2/3 pathotype isolate Lindley	
ERR406997	21 dpi	Standard Pa2/3 pathotype isolate Lindley	
ERR202427	28 dpi	Standard Pa2/3 pathotype isolate Lindley	
ERR406995	28 dpi	Standard Pa2/3 pathotype isolate Lindley	
ERR202428	35 dpi	Standard Pa2/3 pathotype isolate Lindley	
ERR406998	35 dpi	Standard Pa2/3 pathotype isolate Lindley	
ERR202425	7 dpi	Standard Pa2/3 pathotype isolate Lindley	
ERR202422	Adult male	Lindley	
ERR202435	Adult male		
ERR406999	ERR406999	Standard Pa2/3 pathotype isolate Lindley	
ERR202424	J2	Standard Pa2/3 pathotype isolate Lindley	
ERR202429	J2	Standard Pa2/3 pathotype isolate Lindley	
ERR406996	J2	Standard Pa2/3 pathotype isolate Lindley	
ERR202430	egg	Standard Pa2/3 pathotype isolate Lindley	
ERR407000	egg	Standard Pa2/3 pathotype isolate Lindley	
