Run	Location	End	Quality
SRR1873812	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR187/002/SRR1873812	pe	80
SRR1873813	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR187/003/SRR1873813	pe	82
SRR1873814	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR187/004/SRR1873814	pe	88
SRR1873815	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR187/005/SRR1873815	pe	86
SRR1873816	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR187/006/SRR1873816	pe	86
SRR1873817	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR187/007/SRR1873817	pe	85
SRR1873818	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR187/008/SRR1873818	pe	87
SRR1873819	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR187/009/SRR1873819	pe	87
SRR1873820	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR187/000/SRR1873820	pe	89
SRR1873821	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR187/001/SRR1873821	pe	88
SRR1873822	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR187/002/SRR1873822	pe	79
SRR1873823	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR187/003/SRR1873823	pe	81
SRR1873824	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR187/004/SRR1873824	pe	78
SRR1873825	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR187/005/SRR1873825	pe	84
SRR1873826	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR187/006/SRR1873826	pe	79
SRR1873827	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR187/007/SRR1873827	pe	80
SRR1873828	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR187/008/SRR1873828	pe	79
SRR1873829	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR187/009/SRR1873829	pe	82
