Run	Sample	Condition	developmental_stage	sex	strain
ERR411626	ERR411626	CAVR			CAVR
ERR411627	ERR411627	CAVR			CAVR
ERR411628	ERR411628	CAVR			CAVR
ERR1106814	ERR1106814	ISE			ISE
ERR1106815	ERR1106815	ISE			ISE
ERR1106816	ERR1106816	ISE			ISE
ERR1106817	ERR1106817	ISE			ISE
ERR1106818	ERR1106818	ISE			ISE
ERR1106819	ERR1106819	ISE			ISE
ERR1106820	ERR1106820	ISE			ISE
ERR1106821	ERR1106821	ISE			ISE
ERR1106822	ERR1106822	ISE			ISE
ERR1106823	ERR1106823	ISE			ISE
ERR1106824	ERR1106824	ISE			ISE
ERR1106825	ERR1106825	ISE			ISE
ERR1106826	ERR1106826	ISE			ISE
ERR1106827	ERR1106827	ISE			ISE
ERR1106828	ERR1106828	ISE			ISE
ERR1106829	ERR1106829	ISE			ISE
ERR1106830	ERR1106830	ISE			ISE
ERR1106831	ERR1106831	ISE			ISE
ERR1106832	ERR1106832	ISE			ISE
ERR1106833	ERR1106833	ISE			ISE
ERR1106834	ERR1106834	ISE			ISE
ERR1106835	ERR1106835	ISE			ISE
ERR1106836	ERR1106836	ISE			ISE
ERR411602	ERR411602	ISE			ISE
ERR411603	ERR411603	ISE			ISE
ERR411604	ERR411604	ISE			ISE
ERR411608	ERR411608	ISE			ISE
ERR411609	ERR411609	ISE			ISE
ERR411623	ERR411623	ISE			ISE
ERR411624	ERR411624	ISE			ISE
ERR411625	ERR411625	ISE			ISE
ERR411605	SAMEA1930832	ISE			ISE
ERR411610	SAMEA1930832	ISE			ISE
ERR411613	SAMEA1930832	ISE			ISE
ERR411606	SAMEA1930833	ISE			ISE
ERR411611	SAMEA1930833	ISE			ISE
ERR411614	SAMEA1930833	ISE			ISE
ERR411607	SAMEA1932773	ISE			ISE
ERR411612	SAMEA1932773	ISE			ISE
ERR411615	SAMEA1932773	ISE			ISE
ERR229531	ERR229531	L1, inbred ISE	L1		inbred ISE
ERR229532	ERR229532	L1, inbred ISE	L1		inbred ISE
ERR229533	ERR229533	L1, inbred ISE	L1		inbred ISE
ERR229534	ERR229534	L4, inbred ISE	L4		inbred ISE
ERR229535	ERR229535	L4, inbred ISE	L4		inbred ISE
ERR229536	ERR229536	L4, inbred ISE	L4		inbred ISE
ERR411616	ERR411616	MHco3(ISE)			MHco3(ISE)
ERR411617	ERR411617	MHco3(ISE)			MHco3(ISE)
ERR411629	ERR411629	WRS			WRS
ERR411630	ERR411630	WRS			WRS
ERR411631	ERR411631	WRS			WRS
ERR229537	ERR229537	adult, female, inbred ISE	adult	female	inbred ISE
ERR229538	ERR229538	adult, female, inbred ISE	adult	female	inbred ISE
ERR229539	ERR229539	adult, female, inbred ISE	adult	female	inbred ISE
ERR229540	ERR229540	adult, male, inbred ISE	adult	male	Inbred ISE
ERR229541	ERR229541	adult, male, inbred ISE	adult	male	Inbred ISE
ERR229542	ERR229542	adult, male, inbred ISE	adult	male	Inbred ISE
ERR229551	ERR229551	dissected adult female gut, ISE	dissected adult female gut		ISE
ERR229549	ERR229549	dissected adult female gut, MHco3(ISE)	dissected adult female gut		MHco3(ISE)
ERR229550	ERR229550	dissected adult female gut, MHco3(ISE)	dissected adult female gut		MHco3(ISE)
ERR229528	ERR229528	eggs, inbred ISE	eggs		inbred ISE
ERR229529	ERR229529	eggs, inbred ISE	eggs		inbred ISE
ERR229530	ERR229530	eggs, inbred ISE	eggs		inbred ISE
ERR229543	ERR229543	inbred ISE			Inbred ISE
ERR229544	ERR229544	inbred ISE			Inbred ISE
ERR229545	ERR229545	inbred ISE			Inbred ISE
ERR411620	ERR411620	inbred ISE			Inbred ISE
ERR411621	ERR411621	inbred ISE			Inbred ISE
ERR411622	ERR411622	inbred ISE			Inbred ISE
ERR229546	ERR229546	sheathed L3, inbred ISE	sheathed L3		Inbred ISE
ERR229547	ERR229547	sheathed L3, inbred ISE	sheathed L3		Inbred ISE
ERR229548	ERR229548	sheathed L3, inbred ISE	sheathed L3		Inbred ISE
