Run	Location	End	Quality
ERR1106814	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR110/004/ERR1106814	pe	83
ERR1106815	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR110/005/ERR1106815	pe	83
ERR1106816	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR110/006/ERR1106816	pe	82
ERR1106817	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR110/007/ERR1106817	pe	82
ERR1106818	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR110/008/ERR1106818	pe	83
ERR1106819	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR110/009/ERR1106819	pe	82
ERR1106820	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR110/000/ERR1106820	pe	83
ERR1106821	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR110/001/ERR1106821	pe	82
ERR1106822	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR110/002/ERR1106822	pe	81
ERR1106823	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR110/003/ERR1106823	pe	81
ERR1106824	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR110/004/ERR1106824	pe	82
ERR1106825	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR110/005/ERR1106825	pe	81
ERR1106826	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR110/006/ERR1106826	pe	82
ERR1106827	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR110/007/ERR1106827	pe	81
ERR1106828	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR110/008/ERR1106828	pe	81
ERR1106829	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR110/009/ERR1106829	pe	82
ERR1106830	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR110/000/ERR1106830	pe	81
ERR1106831	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR110/001/ERR1106831	pe	82
ERR1106832	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR110/002/ERR1106832	pe	81
ERR1106833	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR110/003/ERR1106833	pe	83
ERR1106834	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR110/004/ERR1106834	pe	81
ERR1106835	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR110/005/ERR1106835	pe	81
ERR1106836	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR110/006/ERR1106836	pe	81
ERR229528	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR229/ERR229528	pe	77
ERR229529	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR229/ERR229529	pe	79
ERR229530	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR229/ERR229530	pe	79
ERR229531	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR229/ERR229531	pe	77
