Run	Condition	developmental_stage	collection_date	geo_loc_name	host	isolate	organism_part
SRR6865603	ensheathed L3	ensheathed L3	22-Nov-16	"Australia: Parkville, VIC"	Ovis aries	Australia	4000 worms
SRR6865602	ensheathed L3	ensheathed L3	22-Nov-16	"Australia: Parkville, VIC"	Ovis aries	Australia	4000 worms
SRR6865605	ensheathed L3	ensheathed L3	22-Nov-16	"Australia: Parkville, VIC"	Ovis aries	Australia	4000 worms
SRR6865604	ensheathed L3	ensheathed L3	22-Nov-16	"Australia: Parkville, VIC"	Ovis aries	Australia	4000 worms
SRR6865607	ensheathed L3	ensheathed L3	22-Nov-16	"Australia: Parkville, VIC"	Ovis aries	Australia	4000 worms
SRR6865587	L4	L4	22-Nov-16	"Australia: Parkville, VIC"	Ovis aries	Australia	4000 worms
SRR6865586	L4	L4	22-Nov-16	"Australia: Parkville, VIC"	Ovis aries	Australia	4000 worms
SRR6865585	L4	L4	22-Nov-16	"Australia: Parkville, VIC"	Ovis aries	Australia	4000 worms
SRR6865584	L4	L4	22-Nov-16	"Australia: Parkville, VIC"	Ovis aries	Australia	4000 worms
SRR6865591	L4	L4	22-Nov-16	"Australia: Parkville, VIC"	Ovis aries	Australia	4000 worms
SRR6865606	exsheathed L3	exsheathed L3	22-Nov-16	"Australia: Parkville, VIC"	Ovis aries	Australia	4000 worms
SRR6865609	exsheathed L3	exsheathed L3	22-Nov-16	"Australia: Parkville, VIC"	Ovis aries	Australia	4000 worms
SRR6865608	exsheathed L3	exsheathed L3	22-Nov-16	"Australia: Parkville, VIC"	Ovis aries	Australia	4000 worms
SRR6865611	exsheathed L3	exsheathed L3	22-Nov-16	"Australia: Parkville, VIC"	Ovis aries	Australia	4000 worms
SRR6865610	exsheathed L3	exsheathed L3	22-Nov-16	"Australia: Parkville, VIC"	Ovis aries	Australia	4000 worms
