Run	Location	End	Quality
SRR6865584	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR686/004/SRR6865584	pe	71
SRR6865585	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR686/005/SRR6865585	pe	71
SRR6865586	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR686/006/SRR6865586	pe	71
SRR6865587	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR686/007/SRR6865587	pe	72
SRR6865591	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR686/001/SRR6865591	pe	71
SRR6865602	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR686/002/SRR6865602	pe	73
SRR6865603	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR686/003/SRR6865603	pe	73
SRR6865604	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR686/004/SRR6865604	pe	74
SRR6865605	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR686/005/SRR6865605	pe	73
SRR6865606	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR686/006/SRR6865606	pe	72
SRR6865607	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR686/007/SRR6865607	pe	75
SRR6865608	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR686/008/SRR6865608	pe	72
SRR6865609	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR686/009/SRR6865609	pe	72
SRR6865610	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR686/000/SRR6865610	pe	72
SRR6865611	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR686/001/SRR6865611	pe	72
