Run	Condition	biomaterial_provider	collection_date	geo_loc_name	isolate	isolation_source	organism_part	sample_name	title
SRR8784129	Total RNA	Mariana Erasmus	2016	South Africa	lab culture	deep terrestrial subsurface	total	Total RNA	Invertebrate sample from Halicephalobus mephisto
SRR8784131	Total RNA	Mariana Erasmus	2016	South Africa	lab culture	deep terrestrial subsurface	total	Total RNA	Invertebrate sample from Halicephalobus mephisto
SRR8784132	Total RNA	Mariana Erasmus	2016	South Africa	lab culture	deep terrestrial subsurface	total	Total RNA	Invertebrate sample from Halicephalobus mephisto
SRR8784133	Total RNA	Mariana Erasmus	2016	South Africa	lab culture	deep terrestrial subsurface	total	Total RNA	Invertebrate sample from Halicephalobus mephisto
SRR8784134	Total RNA	Mariana Erasmus	2016	South Africa	lab culture	deep terrestrial subsurface	total	Total RNA	Invertebrate sample from Halicephalobus mephisto
SRR8784135	Total RNA	Mariana Erasmus	2016	South Africa	lab culture	deep terrestrial subsurface	total	Total RNA	Invertebrate sample from Halicephalobus mephisto
SRR8784136	Total RNA	Mariana Erasmus	2016	South Africa	lab culture	deep terrestrial subsurface	total	Total RNA	Invertebrate sample from Halicephalobus mephisto
SRR8784138	Total RNA	Mariana Erasmus	2016	South Africa	lab culture	deep terrestrial subsurface	total	Total RNA	Invertebrate sample from Halicephalobus mephisto
SRR8784139	Total RNA	Mariana Erasmus	2016	South Africa	lab culture	deep terrestrial subsurface	total	Total RNA	Invertebrate sample from Halicephalobus mephisto
SRR8784140	Total RNA	Mariana Erasmus	2016	South Africa	lab culture	deep terrestrial subsurface	total	Total RNA	Invertebrate sample from Halicephalobus mephisto
SRR8784141	Total RNA	Mariana Erasmus	2016	South Africa	lab culture	deep terrestrial subsurface	total	Total RNA	Invertebrate sample from Halicephalobus mephisto
SRR8784142	Total RNA	Mariana Erasmus	2016	South Africa	lab culture	deep terrestrial subsurface	total	Total RNA	Invertebrate sample from Halicephalobus mephisto
