Run	Location	End	Quality
SRR8784129	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR878/009/SRR8784129	pe	25
SRR8784131	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR878/001/SRR8784131	pe	70
SRR8784132	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR878/002/SRR8784132	pe	76
SRR8784133	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR878/003/SRR8784133	pe	77
SRR8784134	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR878/004/SRR8784134	pe	52
SRR8784135	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR878/005/SRR8784135	pe	68
SRR8784136	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR878/006/SRR8784136	pe	71
SRR8784138	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR878/008/SRR8784138	pe	62
SRR8784139	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR878/009/SRR8784139	pe	46
SRR8784140	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR878/000/SRR8784140	pe	46
SRR8784141	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR878/001/SRR8784141	pe	52
SRR8784142	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR878/002/SRR8784142	pe	82
