Run	Sample	Condition	immunoprecipitate	organism_part	strain	developmental_stage
ERR225722	ERR225722	Adult, mid-section	from 11 pieces	mid strobila region	Nottingham	adult
ERR225723	ERR225723	Adult, mid-section	from 12 pieces	mid strobila region	Nottingham	adult
ERR225724	ERR225724	Adult, mid-section	from 15 pieces	mid strobila region	Nottingham	adult
ERR225725	ERR225725	Adult, posterior	from 11 pieces	posterior strobila region	Nottingham	adult
ERR225726	ERR225726	Adult, posterior	from 12 pieces	posterior strobila region	Nottingham	adult
ERR225727	ERR225727	Adult, posterior	from 17 pieces	posterior strobila region	Nottingham	adult
ERR225719	ERR225719	Adult, scolex	from 14 pieces	neck/scolex region	Nottingham	adult
ERR225720	ERR225720	Adult, scolex	from 13 pieces	neck/scolex region	Nottingham	adult
ERR225721	ERR225721	Adult, scolex	from 43 pieces	neck/scolex region	Nottingham	adult
ERR225728	ERR225728	Adult, whole		whole organism	Nottingham	adult
ERR225729	ERR225729	Adult, whole		whole organism	Nottingham	adult
ERR225730	ERR225730	Adult, whole		whole organism	Nottingham	adult
ERR225716	ERR225716	ERR225716			Dujardin 1845	
ERR337915	SAMEA2066269	mid-metamorphosis larvae			Nottingham	
ERR337928	SAMEA2066269	mid-metamorphosis larvae			Nottingham	
ERR337964	SAMEA2066433	mid-metamorphosis larvae			Nottingham	
ERR337976	SAMEA2066433	mid-metamorphosis larvae			Nottingham	
ERR337940	SAMEA2066438	mid-metamorphosis larvae			Nottingham	
ERR337952	SAMEA2066438	mid-metamorphosis larvae			Nottingham	
