Run	Sample	Condition	cell_type	developmental_stage	organism_part	sample_name	strain	treatment
SRR4046970	SAMN05601732	G1 stage adult, regenerating head	G1 cells	adult	regenerating head	cells in G1 cell cycle stage from regenerating heads	DV1	
SRR4046971	SAMN05601732	G1 stage adult, regenerating head	G1 cells	adult	regenerating head	cells in G1 cell cycle stage from regenerating heads	DV1	
SRR4046972	SAMN05601732	G1 stage adult, regenerating head	G1 cells	adult	regenerating head	cells in G1 cell cycle stage from regenerating heads	DV1	
SRR4046957	SAMN05601728	G1 stage adult, whole organism	G1 cells	adult	whole organism	cells in G1 cell cycle stage from adult animals	DV1	
SRR4046958	SAMN05601728	G1 stage adult, whole organism	G1 cells	adult	whole organism	cells in G1 cell cycle stage from adult animals	DV1	
SRR4046959	SAMN05601728	G1 stage adult, whole organism	G1 cells	adult	whole organism	cells in G1 cell cycle stage from adult animals	DV1	
SRR4046944	SAMN05601724	irradiation 210Gy, 0h		adult	whole organism	adult animals 0 hours after irradiation with the cumulative dose of 210Gy	DV1	worms are irradiated with three pulses of 70Gy every 4 hours and collected after the last pulse
SRR4046945	SAMN05601724	irradiation 210Gy, 0h		adult	whole organism	adult animals 0 hours after irradiation with the cumulative dose of 210Gy	DV1	worms are irradiated with three pulses of 70Gy every 4 hours and collected after the last pulse
SRR4046946	SAMN05601724	irradiation 210Gy, 0h		adult	whole organism	adult animals 0 hours after irradiation with the cumulative dose of 210Gy	DV1	worms are irradiated with three pulses of 70Gy every 4 hours and collected after the last pulse
SRR4046947	SAMN05601725	irradiation 210Gy, 12h		adult	whole organism	adult animals 12 hours after irradiation with the cumulative dose of 210Gy	DV1	worms are irradiated with three pulses of 70Gy every 4 hours and collected 12h after the last pulse
SRR4046948	SAMN05601725	irradiation 210Gy, 12h		adult	whole organism	adult animals 12 hours after irradiation with the cumulative dose of 210Gy	DV1	worms are irradiated with three pulses of 70Gy every 4 hours and collected 12h after the last pulse
SRR4046949	SAMN05601725	irradiation 210Gy, 12h		adult	whole organism	adult animals 12 hours after irradiation with the cumulative dose of 210Gy	DV1	worms are irradiated with three pulses of 70Gy every 4 hours and collected 12h after the last pulse
SRR4046950	SAMN05601726	irradiation 210Gy, 24h		adult	whole organism	adult animals 24 hours after irradiation with the cumulative dose of 210Gy	DV1	worms are irradiated with three pulses of 70Gy every 4 hours, transferred to food and collected 24h after the last pulse (straved 12h prior collection)
SRR4046951	SAMN05601726	irradiation 210Gy, 24h		adult	whole organism	adult animals 24 hours after irradiation with the cumulative dose of 210Gy	DV1	worms are irradiated with three pulses of 70Gy every 4 hours, transferred to food and collected 24h after the last pulse (straved 12h prior collection)
SRR4046953	SAMN05601726	irradiation 210Gy, 24h		adult	whole organism	adult animals 24 hours after irradiation with the cumulative dose of 210Gy	DV1	worms are irradiated with three pulses of 70Gy every 4 hours, transferred to food and collected 24h after the last pulse (straved 12h prior collection)
