Run	Condition	breed	developmental_stage	organism_part	regeneration_time
SRR5905007	anterior, 2 days after removing the tail	DV1	regenerating adults	anterior (reg. tail cut away)	2 days
SRR5905008	anterior, 2 days after removing the tail	DV1	regenerating adults	anterior (reg. tail cut away)	2 days
SRR5904985	anterior, 2 hours after removing the tail	DV1	regenerating adults	anterior (reg. tail cut away)	2 hours
SRR5904986	anterior, 2 hours after removing the tail	DV1	regenerating adults	anterior (reg. tail cut away)	2 hours
SRR5905003	anterior, 3 days after removing the tail	DV1	regenerating adults	anterior (reg. tail cut away)	3 days
SRR5905004	anterior, 3 days after removing the tail	DV1	regenerating adults	anterior (reg. tail cut away)	3 days
SRR5905009	anterior, 4 days after removing the tail	DV1	regenerating adults	anterior (reg. tail cut away)	4 days
SRR5905010	anterior, 4 days after removing the tail	DV1	regenerating adults	anterior (reg. tail cut away)	4 days
SRR5904981	anterior, 4 hours after removing the tail	DV1	regenerating adults	anterior (reg. tail cut away)	4 hours
SRR5904982	anterior, 4 hours after removing the tail	DV1	regenerating adults	anterior (reg. tail cut away)	4 hours
SRR5904993	anterior, 5 days after removing the tail	DV1	regenerating adults	anterior (reg. tail cut away)	5 days
SRR5904994	anterior, 5 days after removing the tail	DV1	regenerating adults	anterior (reg. tail cut away)	5 days
SRR5904996	anterior, 5 days after removing the tail	DV1	regenerating adults	anterior (reg. tail cut away)	5 days
SRR5904990	anterior, 7 days after removing the tail	DV1	regenerating adults	anterior (reg. tail cut away)	7 days
SRR5904999	anterior, 7 days after removing the tail	DV1	regenerating adults	anterior (reg. tail cut away)	7 days
SRR5905000	anterior, 7 days after removing the tail	DV1	regenerating adults	anterior (reg. tail cut away)	7 days
SRR5904987	whole organism, 2 days	DV1	regenerating adults	whole organism	2 days
SRR5904988	whole organism, 2 days	DV1	regenerating adults	whole organism	2 days
SRR5904983	whole organism, 2 hours	DV1	regenerating adults	whole organism	2 hours
SRR5904984	whole organism, 2 hours	DV1	regenerating adults	whole organism	2 hours
SRR5905005	whole organism, 3 days	DV1	regenerating adults	whole organism	3 days
SRR5905006	whole organism, 3 days	DV1	regenerating adults	whole organism	3 days
SRR5905001	whole organism, 4 days	DV1	regenerating adults	whole organism	4 days
SRR5905002	whole organism, 4 days	DV1	regenerating adults	whole organism	4 days
SRR5904979	whole organism, 4 hours	DV1	regenerating adults	whole organism	4 hours
SRR5904980	whole organism, 4 hours	DV1	regenerating adults	whole organism	4 hours
SRR5904995	whole organism, 5 days	DV1	regenerating adults	whole organism	5 days
SRR5904997	whole organism, 5 days	DV1	regenerating adults	whole organism	5 days
SRR5904998	whole organism, 5 days	DV1	regenerating adults	whole organism	5 days
SRR5904989	whole organism, 7 days	DV1	regenerating adults	whole organism	7 days
SRR5904991	whole organism, 7 days	DV1	regenerating adults	whole organism	7 days
SRR5904992	whole organism, 7 days	DV1	regenerating adults	whole organism	7 days
