Run	Location	End	Quality
SRR5904979	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/009/SRR5904979	se	89
SRR5904980	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/000/SRR5904980	se	90
SRR5904981	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/001/SRR5904981	se	89
SRR5904982	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/002/SRR5904982	se	90
SRR5904983	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/003/SRR5904983	se	89
SRR5904984	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/004/SRR5904984	se	90
SRR5904985	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/005/SRR5904985	se	89
SRR5904986	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/006/SRR5904986	se	90
SRR5904987	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/007/SRR5904987	se	89
SRR5904988	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/008/SRR5904988	se	91
SRR5904989	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/009/SRR5904989	se	90
SRR5904990	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/000/SRR5904990	se	91
SRR5904991	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/001/SRR5904991	se	91
SRR5904992	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/002/SRR5904992	se	90
SRR5904993	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/003/SRR5904993	se	92
SRR5904994	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/004/SRR5904994	se	89
SRR5904995	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/005/SRR5904995	se	88
SRR5904996	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/006/SRR5904996	se	89
SRR5904997	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/007/SRR5904997	se	90
SRR5904998	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/008/SRR5904998	se	89
SRR5904999	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/009/SRR5904999	se	89
SRR5905000	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/000/SRR5905000	se	90
SRR5905001	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/001/SRR5905001	se	90
SRR5905002	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/002/SRR5905002	se	91
SRR5905003	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/003/SRR5905003	se	90
SRR5905004	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/004/SRR5905004	se	90
SRR5905005	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/005/SRR5905005	se	89
SRR5905006	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/006/SRR5905006	se	90
SRR5905007	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/007/SRR5905007	se	90
SRR5905008	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/008/SRR5905008	se	90
SRR5905009	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/009/SRR5905009	se	92
SRR5905010	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR590/000/SRR5905010	se	90
