Run	Condition	group_size	age	strain
SRR8363811	isolated	isolated	66-69 days	DV1
SRR8363812	isolated	isolated	66-69 days	DV1
SRR8363813	isolated	isolated	66-69 days	DV1
SRR8363814	isolated	isolated	66-69 days	DV1
SRR8363807	joined	joined	66-69 days	DV1
SRR8363808	joined	joined	66-69 days	DV1
SRR8363809	joined	joined	66-69 days	DV1
SRR8363810	joined	joined	66-69 days	DV1
SRR8363799	octet	octet	66-69 days	DV1
SRR8363800	octet	octet	66-69 days	DV1
SRR8363801	octet	octet	66-69 days	DV1
SRR8363802	octet	octet	66-69 days	DV1
SRR8363803	paired	paired	66-69 days	DV1
SRR8363804	paired	paired	66-69 days	DV1
SRR8363805	paired	paired	66-69 days	DV1
SRR8363806	paired	paired	66-69 days	DV1
