Run	Condition	depth	developmental_stage	geographic_location	host	isolation_source	temperature
SRR5684403	Egg	15 cm	Egg	South Korea	Solanum lycopersicum	Infected roots	25 C
SRR5684407	Egg	15 cm	Egg	South Korea	Solanum lycopersicum	Infected roots	25 C
SRR5684417	Egg	15 cm	Egg	South Korea	Solanum lycopersicum	Infected roots	25 C
SRR5684412	J2 juveniles	15 cm	J2 juveniles	South Korea	Solanum lycopersicum	Infected roots	25 C
SRR5684414	J2 juveniles	15 cm	J2 juveniles	South Korea	Solanum lycopersicum	Infected roots	25 C
SRR5684416	J2 juveniles	15 cm	J2 juveniles	South Korea	Solanum lycopersicum	Infected roots	25 C
SRR5684404	J3	15 cm	J3	South Korea	Solanum lycopersicum	Infected roots	25 C
SRR5684413	J3	15 cm	J3	South Korea	Solanum lycopersicum	Infected roots	25 C
SRR5684415	J3	15 cm	J3	South Korea	Solanum lycopersicum	Infected roots	25 C
SRR5684405	J4	15 cm	J4	South Korea	Solanum lycopersicum	Infected roots	25 C
SRR5684406	J4	15 cm	J4	South Korea	Solanum lycopersicum	Infected roots	25 C
SRR5684408	J4	15 cm	J4	South Korea	Solanum lycopersicum	Infected roots	25 C
SRR5684409	adult female	15 cm	adult female	South Korea	Solanum lycopersicum	Infected roots	25 C
SRR5684410	adult female	15 cm	adult female	South Korea	Solanum lycopersicum	Infected roots	25 C
SRR5684411	adult female	15 cm	adult female	South Korea	Solanum lycopersicum	Infected roots	25 C
