Run	Sample	Condition	sex	host_organism	genotype_of_experiment_host	tissue	strain	developmental_stage
SRR25993492	SAMN37187589	Infectious_juvenile	pooled_male_and_female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	infectious_juveniles
SRR25993493	SAMN37187589	Infectious_juvenile	pooled_male_and_female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	infectious_juveniles
SRR25993489	SAMN37187589	Infectious_juvenile	pooled_male_and_female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	infectious_juveniles
SRR25993488	SAMN37187589	Infectious_juvenile	pooled_male_and_female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	infectious_juveniles
SRR25993494	SAMN37187589	Infectious_juvenile	pooled_male_and_female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	infectious_juveniles
SRR25993485	SAMN37187589	Infectious_juvenile	pooled_male_and_female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	infectious_juveniles
SRR25993487	SAMN37187589	Infectious_juvenile	pooled_male_and_female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	infectious_juveniles
SRR25993490	SAMN37187589	Infectious_juvenile	pooled_male_and_female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	infectious_juveniles
SRR25993491	SAMN37187589	Infectious_juvenile	pooled_male_and_female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	infectious_juveniles
SRR25993495	SAMN37187589	Infectious_juvenile	pooled_male_and_female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	infectious_juveniles
SRR25993484	SAMN37187589	Infectious_juvenile	pooled_male_and_female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	infectious_juveniles
SRR25993486	SAMN37187589	Infectious_juvenile	pooled_male_and_female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	infectious_juveniles
SRR25993844	SAMN37187590	stat6_KO_5d_female	female	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	adult
SRR25993842	SAMN37187590	stat6_KO_5d_female	female	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	adult
SRR25993840	SAMN37187590	stat6_KO_5d_female	female	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	adult
SRR25993843	SAMN37187590	stat6_KO_5d_female	female	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	adult
SRR25993841	SAMN37187590	stat6_KO_5d_female	female	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	adult
SRR25993845	SAMN37187590	stat6_KO_5d_female	female	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	adult
SRR25993847	SAMN37187591	stat6_KO_5d_male	male	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	adult
SRR25993846	SAMN37187591	stat6_KO_5d_male	male	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	adult
SRR25993849	SAMN37187591	stat6_KO_5d_male	male	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	adult
SRR25993850	SAMN37187591	stat6_KO_5d_male	male	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	adult
SRR25993851	SAMN37187591	stat6_KO_5d_male	male	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	adult
SRR25993848	SAMN37187591	stat6_KO_5d_male	male	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	adult
SRR25993855	SAMN37187592	stat6_KO_7d_female	female	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	adult
SRR25993857	SAMN37187592	stat6_KO_7d_female	female	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	adult
SRR25993852	SAMN37187592	stat6_KO_7d_female	female	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	adult
SRR25993853	SAMN37187592	stat6_KO_7d_female	female	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	adult
SRR25993854	SAMN37187592	stat6_KO_7d_female	female	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	adult
SRR25993856	SAMN37187592	stat6_KO_7d_female	female	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	adult
SRR25993863	SAMN37187593	stat6_KO_7d_male	male	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	adult
SRR25993861	SAMN37187593	stat6_KO_7d_male	male	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	adult
SRR25993862	SAMN37187593	stat6_KO_7d_male	male	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	adult
SRR25993864	SAMN37187593	stat6_KO_7d_male	male	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	adult
SRR25993866	SAMN37187593	stat6_KO_7d_male	male	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	adult
SRR25993865	SAMN37187593	stat6_KO_7d_male	male	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	adult
SRR25993872	SAMN37187594	stat6_KO_L4	pooled_male_and_female	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	fourth-stage_larvae
SRR25993868	SAMN37187594	stat6_KO_L4	pooled_male_and_female	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	fourth-stage_larvae
SRR25993870	SAMN37187594	stat6_KO_L4	pooled_male_and_female	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	fourth-stage_larvae
SRR25993869	SAMN37187594	stat6_KO_L4	pooled_male_and_female	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	fourth-stage_larvae
SRR25993867	SAMN37187594	stat6_KO_L4	pooled_male_and_female	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	fourth-stage_larvae
SRR25993871	SAMN37187594	stat6_KO_L4	pooled_male_and_female	Mus_musculus	Mus_musculus_STAT6_KO	whole_animal	MIMR	fourth-stage_larvae
SRR25994426	SAMN37187595	In_vitro_0d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25994429	SAMN37187595	In_vitro_0d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25994424	SAMN37187595	In_vitro_0d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25994428	SAMN37187595	In_vitro_0d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25994425	SAMN37187595	In_vitro_0d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25994427	SAMN37187595	In_vitro_0d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25994457	SAMN37187596	In_vitro_0d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25994461	SAMN37187596	In_vitro_0d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25994459	SAMN37187596	In_vitro_0d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25994462	SAMN37187596	In_vitro_0d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25994460	SAMN37187596	In_vitro_0d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25994458	SAMN37187596	In_vitro_0d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25994635	SAMN37187597	In_vitro_0d_r_female	female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25994634	SAMN37187597	In_vitro_0d_r_female	female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25994632	SAMN37187597	In_vitro_0d_r_female	female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25994633	SAMN37187597	In_vitro_0d_r_female	female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25994636	SAMN37187597	In_vitro_0d_r_female	female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25994637	SAMN37187597	In_vitro_0d_r_female	female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25994666	SAMN37187598	In_vitro_0d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25994671	SAMN37187598	In_vitro_0d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25994670	SAMN37187598	In_vitro_0d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25994667	SAMN37187598	In_vitro_0d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25994669	SAMN37187598	In_vitro_0d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25994668	SAMN37187598	In_vitro_0d_r_male	male	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
SRR25994683	SAMN37187599	In_vitro_1d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25994684	SAMN37187599	In_vitro_1d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25994681	SAMN37187599	In_vitro_1d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25994682	SAMN37187599	In_vitro_1d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25994686	SAMN37187599	In_vitro_1d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25994685	SAMN37187599	In_vitro_1d_m_female	female	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25994732	SAMN37187600	In_vitro_1d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25994731	SAMN37187600	In_vitro_1d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25994729	SAMN37187600	In_vitro_1d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25994730	SAMN37187600	In_vitro_1d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25994733	SAMN37187600	In_vitro_1d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25994734	SAMN37187600	In_vitro_1d_m_male	male	Mus_musculus	Mus_musculus_WT	whole_animal	MIMR	adult
SRR25994720	SAMN37187601	In_vitro_1d_r_female	female	Rattus_norvegicus	Rattus_norvegicus_WT	whole_animal	MIMR	adult
