biosample	run_accession	sex	host_organism	genotype_of_experiment_host	genotype_of_passage_host	tissue	treatment	strain	developmental_stage	condition
SAMN37187589	SRR25993492	pooled_male_and_female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal		MIMR	infectious_juveniles	Infectious_juvenile
SAMN37187589	SRR25993493	pooled_male_and_female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal		MIMR	infectious_juveniles	Infectious_juvenile
SAMN37187589	SRR25993489	pooled_male_and_female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal		MIMR	infectious_juveniles	Infectious_juvenile
SAMN37187589	SRR25993488	pooled_male_and_female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal		MIMR	infectious_juveniles	Infectious_juvenile
SAMN37187589	SRR25993494	pooled_male_and_female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal		MIMR	infectious_juveniles	Infectious_juvenile
SAMN37187589	SRR25993485	pooled_male_and_female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal		MIMR	infectious_juveniles	Infectious_juvenile
SAMN37187589	SRR25993487	pooled_male_and_female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal		MIMR	infectious_juveniles	Infectious_juvenile
SAMN37187589	SRR25993490	pooled_male_and_female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal		MIMR	infectious_juveniles	Infectious_juvenile
SAMN37187589	SRR25993491	pooled_male_and_female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal		MIMR	infectious_juveniles	Infectious_juvenile
SAMN37187589	SRR25993495	pooled_male_and_female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal		MIMR	infectious_juveniles	Infectious_juvenile
SAMN37187589	SRR25993484	pooled_male_and_female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal		MIMR	infectious_juveniles	Infectious_juvenile
SAMN37187589	SRR25993486	pooled_male_and_female	Rattus_norvegicus	Rattus_norvegicus_WT		whole_animal		MIMR	infectious_juveniles	Infectious_juvenile
SAMN37187590	SRR25993844	female	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_5d_infection	MIMR	adult	stat6_KO_5d_female
SAMN37187590	SRR25993842	female	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_5d_infection	MIMR	adult	stat6_KO_5d_female
SAMN37187590	SRR25993840	female	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_5d_infection	MIMR	adult	stat6_KO_5d_female
SAMN37187590	SRR25993843	female	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_5d_infection	MIMR	adult	stat6_KO_5d_female
SAMN37187590	SRR25993841	female	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_5d_infection	MIMR	adult	stat6_KO_5d_female
SAMN37187590	SRR25993845	female	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_5d_infection	MIMR	adult	stat6_KO_5d_female
SAMN37187591	SRR25993847	male	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_5d_infection	MIMR	adult	stat6_KO_5d_male
SAMN37187591	SRR25993846	male	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_5d_infection	MIMR	adult	stat6_KO_5d_male
SAMN37187591	SRR25993849	male	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_5d_infection	MIMR	adult	stat6_KO_5d_male
SAMN37187591	SRR25993850	male	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_5d_infection	MIMR	adult	stat6_KO_5d_male
SAMN37187591	SRR25993851	male	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_5d_infection	MIMR	adult	stat6_KO_5d_male
SAMN37187591	SRR25993848	male	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_5d_infection	MIMR	adult	stat6_KO_5d_male
SAMN37187592	SRR25993855	female	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_7d_infection	MIMR	adult	stat6_KO_7d_female
SAMN37187592	SRR25993857	female	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_7d_infection	MIMR	adult	stat6_KO_7d_female
SAMN37187592	SRR25993852	female	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_7d_infection	MIMR	adult	stat6_KO_7d_female
SAMN37187592	SRR25993853	female	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_7d_infection	MIMR	adult	stat6_KO_7d_female
SAMN37187592	SRR25993854	female	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_7d_infection	MIMR	adult	stat6_KO_7d_female
SAMN37187592	SRR25993856	female	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_7d_infection	MIMR	adult	stat6_KO_7d_female
SAMN37187593	SRR25993863	male	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_7d_infection	MIMR	adult	stat6_KO_7d_male
SAMN37187593	SRR25993861	male	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_7d_infection	MIMR	adult	stat6_KO_7d_male
SAMN37187593	SRR25993862	male	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_7d_infection	MIMR	adult	stat6_KO_7d_male
SAMN37187593	SRR25993864	male	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_7d_infection	MIMR	adult	stat6_KO_7d_male
SAMN37187593	SRR25993866	male	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_7d_infection	MIMR	adult	stat6_KO_7d_male
SAMN37187593	SRR25993865	male	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_7d_infection	MIMR	adult	stat6_KO_7d_male
SAMN37187594	SRR25993872	pooled_male_and_female	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_L4_infection	MIMR	fourth-stage_larvae	stat6_KO_L4
SAMN37187594	SRR25993868	pooled_male_and_female	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_L4_infection	MIMR	fourth-stage_larvae	stat6_KO_L4
SAMN37187594	SRR25993870	pooled_male_and_female	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_L4_infection	MIMR	fourth-stage_larvae	stat6_KO_L4
SAMN37187594	SRR25993869	pooled_male_and_female	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_L4_infection	MIMR	fourth-stage_larvae	stat6_KO_L4
SAMN37187594	SRR25993867	pooled_male_and_female	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_L4_infection	MIMR	fourth-stage_larvae	stat6_KO_L4
SAMN37187594	SRR25993871	pooled_male_and_female	Mus_musculus	Mus_musculus_STAT6_KO		whole_animal	stat6_KO_L4_infection	MIMR	fourth-stage_larvae	stat6_KO_L4
SAMN37187595	SRR25994426	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_0d_from_mouse	MIMR	adult	In_vitro_0d_m_female
SAMN37187595	SRR25994429	female	Mus_musculus	Mus_musculus_WT		whole_animal	In_vitro_0d_from_mouse	MIMR	adult	In_vitro_0d_m_female
