Run	Condition	organism_part	sex	strain
SRR5635083	male carcass	carcass	male	North American wildtype
SRR5635084	male carcass	carcass	male	North American wildtype
SRR5635085	male embryo	embryo	male	North American wildtype
SRR5635086	male embryo	embryo	male	North American wildtype
SRR5635089	male intestine	intestine	male	North American wildtype
SRR5635090	male intestine	intestine	male	North American wildtype
SRR5635087	ovary	ovary	female	North American wildtype
SRR5635088	ovary	ovary	female	North American wildtype
SRR5635091	testis	testis	male	North American wildtype
SRR5635092	testis	testis	male	North American wildtype
