Run	Location	End	Quality
SRR5635083	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR563/003/SRR5635083	pe	44
SRR5635084	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR563/004/SRR5635084	pe	46
SRR5635085	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR563/005/SRR5635085	pe	33
SRR5635086	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR563/006/SRR5635086	pe	37
SRR5635087	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR563/007/SRR5635087	pe	52
SRR5635088	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR563/008/SRR5635088	pe	55
SRR5635089	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR563/009/SRR5635089	pe	49
SRR5635090	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR563/000/SRR5635090	pe	51
SRR5635091	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR563/001/SRR5635091	pe	56
SRR5635092	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR563/002/SRR5635092	pe	58
SRR5635094	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR563/004/SRR5635094	pe	32
