Run	Location	End	Quality
ERR1943611	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/001/ERR1943611	pe	91
ERR1943612	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/002/ERR1943612	pe	91
ERR1943613	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/003/ERR1943613	pe	85
ERR1943614	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/004/ERR1943614	pe	92
ERR1943615	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/005/ERR1943615	pe	90
ERR1943616	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/006/ERR1943616	pe	94
ERR1943617	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/007/ERR1943617	pe	90
ERR1943618	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/008/ERR1943618	pe	88
ERR1943619	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/009/ERR1943619	pe	92
ERR1943620	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/000/ERR1943620	pe	92
ERR1943621	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/001/ERR1943621	pe	93
ERR1943622	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/002/ERR1943622	pe	85
ERR1943623	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/003/ERR1943623	pe	92
ERR1943624	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/004/ERR1943624	pe	89
ERR1943625	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/005/ERR1943625	pe	93
ERR1943626	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/006/ERR1943626	pe	92
ERR1943627	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/007/ERR1943627	pe	93
ERR1943628	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/008/ERR1943628	pe	93
ERR1943629	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/009/ERR1943629	pe	91
ERR1943630	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/000/ERR1943630	pe	89
ERR1943631	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/001/ERR1943631	pe	89
ERR1943632	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/002/ERR1943632	pe	91
ERR1943633	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/003/ERR1943633	pe	91
ERR1943634	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/004/ERR1943634	pe	90
ERR1943635	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/005/ERR1943635	pe	92
ERR1943636	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/006/ERR1943636	pe	91
ERR1943637	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/007/ERR1943637	pe	94
ERR1943638	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/008/ERR1943638	pe	89
ERR1943639	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/009/ERR1943639	pe	89
ERR1943640	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/000/ERR1943640	pe	91
ERR1943641	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/001/ERR1943641	pe	90
ERR1943642	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/002/ERR1943642	pe	90
ERR1943643	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/003/ERR1943643	pe	87
ERR1943644	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/004/ERR1943644	pe	92
ERR1943645	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/005/ERR1943645	pe	90
ERR1943646	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/006/ERR1943646	pe	90
ERR1943647	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/007/ERR1943647	pe	93
ERR1943648	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/008/ERR1943648	pe	93
ERR1943649	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/ERR194/009/ERR1943649	pe	93
