Run	Sample	Condition	alias	developmental_stage	strain	synonym	title	ena_checklist	insdc_center_alias
ERR3561993	ERR3561993	ERR3561993	tu1163-late-1	late	tu1163	tu1163-late-1	tu1163-late-1	ERC000011	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR3561994	ERR3561994	ERR3561994	tu505-late-1	late	tu505	tu505-late-1	tu505-late-1	ERC000011	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR3561996	ERR3561996	ERR3561996	tu1164-late-1	late	tu1164	tu1164-late-1	tu1164-late-1	ERC000011	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR3561997	ERR3561997	ERR3561997	iub6-late-1	late	iub6	iub6-late-1	iub6-late-1	ERC000011	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR3561998	ERR3561998	ERR3561998	tu1163-late-2	late	tu1163	tu1163-late-2	tu1163-late-2	ERC000011	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR3561999	ERR3561999	ERR3561999	tu505-late-2	late	tu505	tu505-late-2	tu505-late-2	ERC000011	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR3562001	ERR3562001	ERR3562001	tu1164-late-2	late	tu1164	tu1164-late-2	tu1164-late-2	ERC000011	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR3562002	ERR3562002	ERR3562002	iub6-late-2	late	iub6	iub6-late-2	iub6-late-2	ERC000011	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR3562004	ERR3562004	ERR3562004	tu1163-early-1	early	tu1163	tu1163-early-1	tu1163-early-1	ERC000011	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR3562005	ERR3562005	ERR3562005	tu505-early-1	early	tu505	tu505-early-1	tu505-early-1	ERC000011	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR3562007	ERR3562007	ERR3562007	tu1164-early-1	early	tu1164	tu1164-early-1	tu1164-early-1	ERC000011	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR3562008	ERR3562008	ERR3562008	iub6-early-1	early	iub6	iub6-early-1	iub6-early-1	ERC000011	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR3562009	ERR3562009	ERR3562009	tu1163-early-2	early	tu1163	tu1163-early-2	tu1163-early-2	ERC000011	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR3562010	ERR3562010	ERR3562010	tu505-early-2	early	tu505	tu505-early-2	tu505-early-2	ERC000011	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR3562012	ERR3562012	ERR3562012	tu1164-early-2	early	tu1164	tu1164-early-2	tu1164-early-2	ERC000011	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR3562013	ERR3562013	ERR3562013	iub6-early-2	early	iub6	iub6-early-2	iub6-early-2	ERC000011	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR3562015	ERR3562015	ERR3562015	tu1418-late-1	late	tu1418	tu1418-late-1	tu1418-late-1	ERC000011	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR3562016	ERR3562016	ERR3562016	PS312-late-4	late	PS312	PS312-late-4	PS312-late-4	ERC000011	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR3562017	ERR3562017	ERR3562017	tu1423-late-1	late	tu1423	tu1423-late-1	tu1423-late-1	ERC000011	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
ERR3562018	ERR3562018	ERR3562018	tu1418-late-2	late	tu1418	tu1418-late-2	tu1418-late-2	ERC000011	MAX PLANCK INSTITUTE FOR DEVELOPMENTAL BIOLOGY
