Run	Condition	developmental_stage
SRR2966895	adult	adult
SRR2966896	adult	adult
SRR2966897	adult	adult
SRR2966898	adult	adult
SRR2966894	infective plerocercoid	infective plerocercoid
SRR2966904	infective plerocercoid	infective plerocercoid
SRR2966905	infective plerocercoid	infective plerocercoid
SRR2966906	infective plerocercoid	infective plerocercoid
SRR2966892	non-infective plerocercoid	non-infective plerocercoid
SRR2966893	non-infective plerocercoid	non-infective plerocercoid
SRR2966899	non-infective plerocercoid	non-infective plerocercoid
SRR2966900	non-infective plerocercoid	non-infective plerocercoid
SRR2966901	non-infective plerocercoid	non-infective plerocercoid
SRR2966902	non-infective plerocercoid	non-infective plerocercoid
SRR2966903	non-infective plerocercoid	non-infective plerocercoid
