Run	Condition	collection_date	developmental_stage	geo_loc_name	host	organism_part
SRR7867982	F1 Schistosoma bovis x haematobium female (homospecific pairing)	2017	adult	France: Perpignan	Mesocricetus auratus	whole organism
SRR7867984	F1 Schistosoma bovis x haematobium female (homospecific pairing)	2017	adult	France: Perpignan	Mesocricetus auratus	whole organism
SRR7867985	F1 Schistosoma bovis x haematobium female (homospecific pairing)	2017	adult	France: Perpignan	Mesocricetus auratus	whole organism
SRR7867980	F1 Schistosoma bovis x haematobium male (homospecific pairing)	2017	adult	France: Perpignan	Mesocricetus auratus	whole organism
SRR7867981	F1 Schistosoma bovis x haematobium male (homospecific pairing)	2017	adult	France: Perpignan	Mesocricetus auratus	whole organism
SRR7867983	F1 Schistosoma bovis x haematobium male (homospecific pairing)	2017	adult	France: Perpignan	Mesocricetus auratus	whole organism
SRR7867956	F1 Schistosoma haematobium x bovis female (homospecific pairing)	2017	adult	France: Perpignan	Mesocricetus auratus	whole organism
SRR7867959	F1 Schistosoma haematobium x bovis female (homospecific pairing)	2017	adult	France: Perpignan	Mesocricetus auratus	whole organism
SRR7867978	F1 Schistosoma haematobium x bovis female (homospecific pairing)	2017	adult	France: Perpignan	Mesocricetus auratus	whole organism
SRR7867979	F1 Schistosoma haematobium x bovis male (homospecific pairing)	2017	adult	France: Perpignan	Mesocricetus auratus	whole organism
SRR7867986	F1 Schistosoma haematobium x bovis male (homospecific pairing)	2017	adult	France: Perpignan	Mesocricetus auratus	whole organism
SRR7867987	F1 Schistosoma haematobium x bovis male (homospecific pairing)	2017	adult	France: Perpignan	Mesocricetus auratus	whole organism
SRR12095628	Schistosoma haematobium female (heterospecific pairing)	2017	adult	France: Perpignan	Mesocricetus auratus	whole organism
SRR7867962	Schistosoma haematobium female (heterospecific pairing)	2017	adult	France: Perpignan	Mesocricetus auratus	whole organism
SRR7867963	Schistosoma haematobium female (heterospecific pairing)	2017	adult	France: Perpignan	Mesocricetus auratus	whole organism
SRR7867975	Schistosoma haematobium female (homospecific pairing)	2017	adult	France: Perpignan	Mesocricetus auratus	whole organism
SRR7867976	Schistosoma haematobium female (homospecific pairing)	2017	adult	France: Perpignan	Mesocricetus auratus	whole organism
SRR7867977	Schistosoma haematobium female (homospecific pairing)	2018	adult	France: Perpignan	Mesocricetus auratus	whole organism
SRR12095627	Schistosoma haematobium male (heterospecific pairing)	2017	adult	France: Perpignan	Mesocricetus auratus	whole organism
SRR7867964	Schistosoma haematobium male (heterospecific pairing)	2017	adult	France: Perpignan	Mesocricetus auratus	whole organism
SRR7867965	Schistosoma haematobium male (heterospecific pairing)	2017	adult	France: Perpignan	Mesocricetus auratus	whole organism
SRR7867957	Schistosoma haematobium male (homospecific pairing)	2017	adult	France: Perpignan	Mesocricetus auratus	whole organism
SRR7867958	Schistosoma haematobium male (homospecific pairing)	2017	adult	France: Perpignan	Mesocricetus auratus	whole organism
SRR7867974	Schistosoma haematobium male (homospecific pairing)	2018	adult	France: Perpignan	Mesocricetus auratus	whole organism
