Run	Location	End	Quality
SRR4267990	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR426/000/SRR4267990	se	88
SRR4267991	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR426/001/SRR4267991	se	88
SRR4279491	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR427/001/SRR4279491	se	87
SRR4279496	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR427/006/SRR4279496	se	83
SRR4279833	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR427/003/SRR4279833	se	88
SRR4279840	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR427/000/SRR4279840	se	88
SRR4279841	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR427/001/SRR4279841	se	87
SRR4279842	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR427/002/SRR4279842	se	87
SRR4289333	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR428/003/SRR4289333	se	87
SRR4289339	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR428/009/SRR4289339	se	89
SRR4289340	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR428/000/SRR4289340	se	87
SRR4289341	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR428/001/SRR4289341	se	85
SRR4289343	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR428/003/SRR4289343	se	87
SRR4289344	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR428/004/SRR4289344	se	77
SRR4289345	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR428/005/SRR4289345	se	86
SRR4289346	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR428/006/SRR4289346	se	88
SRR4289348	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR428/008/SRR4289348	se	88
