Run	Condition	Days post infection	strain
ERR3489985	13 dpi	13 dpi	Puerto Rican
ERR3489986	13 dpi	13 dpi	Puerto Rican
ERR3489987	13 dpi	13 dpi	Puerto Rican
ERR3489988	17 dpi	17 dpi	Puerto Rican
ERR3489989	17 dpi	17 dpi	Puerto Rican
ERR3489990	17 dpi	17 dpi	Puerto Rican
ERR3489991	21 dpi	21 dpi	Puerto Rican
ERR3489992	21 dpi	21 dpi	Puerto Rican
ERR3489993	21 dpi	21 dpi	Puerto Rican
ERR3489994	28 dpi	28 dpi	Puerto Rican
ERR3489995	28 dpi	28 dpi	Puerto Rican
ERR3489996	28 dpi	28 dpi	Puerto Rican
ERR3489997	35 dpi	35 dpi	Puerto Rican
ERR3489998	35 dpi	35 dpi	Puerto Rican
ERR3489999	35 dpi	35 dpi	Puerto Rican
ERR3489978	6 dpi	6 dpi	Puerto Rican
ERR3489979	6 dpi	6 dpi	Puerto Rican
ERR3489980	6 dpi	6 dpi	Puerto Rican
ERR3489981	6 dpi	6 dpi	Puerto Rican
ERR3489982	6 dpi	6 dpi	Puerto Rican
ERR3489983	6 dpi	6 dpi	Puerto Rican
ERR3489984	6 dpi	6 dpi	Puerto Rican
