Run	Location	End	Quality
SRR3211868	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR321/008/SRR3211868	se	91
SRR3216389	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR321/009/SRR3216389	se	91
SRR3223426	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR322/006/SRR3223426	se	85
SRR3223427	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR322/007/SRR3223427	se	69
SRR3223428	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR322/008/SRR3223428	se	84
SRR3223429	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR322/009/SRR3223429	se	89
SRR3223430	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR322/000/SRR3223430	se	90
SRR3223431	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR322/001/SRR3223431	se	91
SRR3223432	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR322/002/SRR3223432	se	87
SRR3223433	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR322/003/SRR3223433	se	81
SRR3223434	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR322/004/SRR3223434	se	87
SRR3223435	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR322/005/SRR3223435	se	88
SRR3223436	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR322/006/SRR3223436	se	80
SRR3223439	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR322/009/SRR3223439	se	72
SRR3223443	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR322/003/SRR3223443	se	89
SRR3223444	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR322/004/SRR3223444	se	80
SRR3223445	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR322/005/SRR3223445	se	88
SRR3223446	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR322/006/SRR3223446	se	84
SRR3223447	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR322/007/SRR3223447	se	89
SRR3223448	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR322/008/SRR3223448	se	90
