Run	Condition	generation	treatment	concentration	days_post_infection	organism_part	sex	source_name	strain
SRR7945639	Passage 6	Passage 6			49	whole organism	pooled male and female	whole parasites	Puerto Rican-1 (PR-1)
SRR7945640	Passage 6	Passage 6			49	whole organism	pooled male and female	whole parasites	Puerto Rican-1 (PR-1)
SRR7945641	Passage 6	Passage 6			49	whole organism	pooled male and female	whole parasites	Puerto Rican-1 (PR-1)
SRR7945642	Passage 6	Passage 6			49	whole organism	pooled male and female	whole parasites	Puerto Rican-1 (PR-1)
SRR7945643	Passage 6, PZQ	Passage 6	Praziquantel	900 mg/Kg	49	whole organism	pooled male and female	whole parasites	Puerto Rican-1 (PR-1)
SRR7945644	Passage 6, PZQ	Passage 6	Praziquantel	900 mg/Kg	49	whole organism	pooled male and female	whole parasites	Puerto Rican-1 (PR-1)
SRR7945645	Passage 6, PZQ	Passage 6	Praziquantel	900 mg/Kg	49	whole organism	pooled male and female	whole parasites	Puerto Rican-1 (PR-1)
SRR7945646	Passage 6, PZQ	Passage 6	Praziquantel	900 mg/Kg	49	whole organism	pooled male and female	whole parasites	Puerto Rican-1 (PR-1)
SRR7945647	Passage 7	Passage 7			49	whole organism	pooled male and female	whole parasites	Puerto Rican-1 (PR-1)
SRR7945648	Passage 7	Passage 7			49	whole organism	pooled male and female	whole parasites	Puerto Rican-1 (PR-1)
SRR7945649	Passage 7	Passage 7			49	whole organism	pooled male and female	whole parasites	Puerto Rican-1 (PR-1)
SRR7945650	Passage 7	Passage 7			49	whole organism	pooled male and female	whole parasites	Puerto Rican-1 (PR-1)
SRR7945651	Passage 7, PZQ	Passage 7	Praziquantel	900 mg/Kg	49	whole organism	pooled male and female	whole parasites	Puerto Rican-1 (PR-1)
SRR7945652	Passage 7, PZQ	Passage 7	Praziquantel	900 mg/Kg	49	whole organism	pooled male and female	whole parasites	Puerto Rican-1 (PR-1)
SRR7945653	Passage 7, PZQ	Passage 7	Praziquantel	900 mg/Kg	49	whole organism	pooled male and female	whole parasites	Puerto Rican-1 (PR-1)
SRR7945654	Passage 7, PZQ	Passage 7	Praziquantel	900 mg/Kg	49	whole organism	pooled male and female	whole parasites	Puerto Rican-1 (PR-1)
SRR7945655	Passage 8	Passage 8			49	whole organism	pooled male and female	whole parasites	Puerto Rican-1 (PR-1)
SRR7945656	Passage 8	Passage 8			49	whole organism	pooled male and female	whole parasites	Puerto Rican-1 (PR-1)
SRR7945657	Passage 8	Passage 8			49	whole organism	pooled male and female	whole parasites	Puerto Rican-1 (PR-1)
SRR7945658	Passage 8	Passage 8			49	whole organism	pooled male and female	whole parasites	Puerto Rican-1 (PR-1)
SRR7945659	Passage 8, PZQ	Passage 8	Praziquantel	900 mg/Kg	49	whole organism	pooled male and female	whole parasites	Puerto Rican-1 (PR-1)
SRR7945660	Passage 8, PZQ	Passage 8	Praziquantel	900 mg/Kg	49	whole organism	pooled male and female	whole parasites	Puerto Rican-1 (PR-1)
SRR7945661	Passage 8, PZQ	Passage 8	Praziquantel	900 mg/Kg	49	whole organism	pooled male and female	whole parasites	Puerto Rican-1 (PR-1)
SRR7945662	Passage 8, PZQ	Passage 8	Praziquantel	900 mg/Kg	49	whole organism	pooled male and female	whole parasites	Puerto Rican-1 (PR-1)
