Run	Condition	developmental_stage	organism_part	source_name	strain
SRR11280723	mock RNAi	6 weeks + 9 days culture	whole adult male parasite	adult male parasites	Puerto Rico
SRR11280728	mock RNAi d6	6 weeks + 6 days culture	whole adult male parasite	adult male parasites	Puerto Rico
SRR11280729	mock RNAi d6	6 weeks + 6 days culture	whole adult male parasite	adult male parasites	Puerto Rico
SRR11280730	mock RNAi d6	6 weeks + 6 days culture	whole adult male parasite	adult male parasites	Puerto Rico
SRR11280722	mock RNAi d9	6 weeks + 9 days culture	whole adult male parasite	adult male parasites	Puerto Rico
SRR11280724	mock RNAi d9	6 weeks + 9 days culture	whole adult male parasite	adult male parasites	Puerto Rico
SRR11280725	stk RNAi d9	6 weeks + 9 days culture	whole adult male parasite	adult male parasites	Puerto Rico
SRR11280726	stk RNAi d9	6 weeks + 9 days culture	whole adult male parasite	adult male parasites	Puerto Rico
SRR11280727	stk RNAi d9	6 weeks + 9 days culture	whole adult male parasite	adult male parasites	Puerto Rico
SRR11280731	tao RNAi d6	6 weeks + 6 days culture	whole adult male parasite	adult male parasites	Puerto Rico
SRR11280732	tao RNAi d6	6 weeks + 6 days culture	whole adult male parasite	adult male parasites	Puerto Rico
SRR11280733	tao RNAi d6	6 weeks + 6 days culture	whole adult male parasite	adult male parasites	Puerto Rico
