Run	Sample	Condition	cell_type	sample_name	source_name	strain	treatment
SRR388701	SAMN00765126	Asexual, Irradiated		Asexual Irradiated	Asexual strain of S. mediterranea, Irradiated	Asexual	Irradiated
SRR388702	SAMN00765126	Asexual, Irradiated		Asexual Irradiated	Asexual strain of S. mediterranea, Irradiated	Asexual	Irradiated
SRR388703	SAMN00765127	Asexual, Non-irradiated		Asexual Non-irradiated [single end]	Asexual strain of S. mediterranea, Non-irradiated	Asexual	Non-irradiated
SRR388704	SAMN00765127	Asexual, Non-irradiated		Asexual Non-irradiated [single end]	Asexual strain of S. mediterranea, Non-irradiated	Asexual	Non-irradiated
SRR388705	SRR388705	Asexual, Non-irradiated		Asexual Non-irradiated [paired end]	Asexual strain of S. mediterranea, Non-irradiated	Asexual	Non-irradiated
SRR388710	SRR388710	Sexual Non-irradiated [paired end]		Sexual Non-irradiated [paired end]	Sexual strain of S. mediterranea, Non-irradiated	Sexual	Non-irradiated
SRR388706	SAMN00765129	Sexual, Irradiated		Sexual Irradiated	Sexual strain of S. mediterranea, Irradiated	Sexual	Irradiated
SRR388707	SAMN00765129	Sexual, Irradiated		Sexual Irradiated	Sexual strain of S. mediterranea, Irradiated	Sexual	Irradiated
SRR388708	SAMN00765130	Sexual, Non-irradiated		Sexual Non-irradiated [single end]	Sexual strain of S. mediterranea, Non-irradiated	Sexual	Non-irradiated
SRR388709	SAMN00765130	Sexual, Non-irradiated		Sexual Non-irradiated [single end]	Sexual strain of S. mediterranea, Non-irradiated	Sexual	Non-irradiated
SRR514126	SAMN00765130	Sexual, Non-irradiated		Sexual Non-irradiated [single end]	Sexual strain of S. mediterranea, Non-irradiated	Sexual	Non-irradiated
SRR388711	SRR388711	X1 neoblast, Sexual, Non-irradiated	X1 neoblast	Sexual Non-irradiated, X1 FACS purified neoblast	Sexual strain of S. mediterranea, Non-irradiated, X1 FACS purified neoblast	Sexual	Non-irradiated
SRR388713	SRR388713	X2 neoblast, Sexual, Non-irradiated	X2 neoblast	Sexual Non-irradiated, X2 FACS purified neoblast	Sexual strain of S. mediterranea, Non-irradiated, X2 FACS purified neoblast	Sexual	Non-irradiated
SRR388712	SRR388712	Xins differentiated cells, Sexual, Non-irradiated	Xins differentiated cells	Sexual Non-irradiated, Xins FACS purified differentiated cells	Sexual strain of S. mediterranea, Non-irradiated, Xins FACS purified differentiated cells	Sexual	Non-irradiated
