Run	Condition	organism_part	rnai	strain	timepoint
SRR3743606	whole organism, Egfr3 3 feedings NT, 9 days	whole organism	Egfr3 3 feedings NT	asexual CIW4	9 days
SRR3743607	whole organism, Egfr3 3 feedings NT, 9 days	whole organism	Egfr3 3 feedings NT	asexual CIW4	9 days
SRR3743608	whole organism, Egfr3 3 feedings NT, 9 days	whole organism	Egfr3 3 feedings NT	asexual CIW4	9 days
SRR3743609	whole organism, Egfr3 3 feedings NT, 9 days	whole organism	Egfr3 3 feedings NT	asexual CIW4	9 days
SRR3743614	whole organism, Egfr3 6 feedings SR, 22 days	whole organism	Egfr3 6 feedings SR	asexual CIW4	22 days
SRR3743615	whole organism, Egfr3 6 feedings SR, 22 days	whole organism	Egfr3 6 feedings SR	asexual CIW4	22 days
SRR3743616	whole organism, Egfr3 6 feedings SR, 22 days	whole organism	Egfr3 6 feedings SR	asexual CIW4	22 days
SRR3743617	whole organism, Egfr3 6 feedings SR, 22 days	whole organism	Egfr3 6 feedings SR	asexual CIW4	22 days
SRR3743618	whole organism, Egfr3 6 feedings SR, 23 days	whole organism	Egfr3 6 feedings SR	asexual CIW4	23 days
SRR3743619	whole organism, Egfr3 6 feedings SR, 23 days	whole organism	Egfr3 6 feedings SR	asexual CIW4	23 days
SRR3743620	whole organism, Egfr3 6 feedings SR, 23 days	whole organism	Egfr3 6 feedings SR	asexual CIW4	23 days
SRR3743621	whole organism, Egfr3 6 feedings SR, 23 days	whole organism	Egfr3 6 feedings SR	asexual CIW4	23 days
SRR3743622	whole organism, Egfr3 6 feedings SR, 26 days	whole organism	Egfr3 6 feedings SR	asexual CIW4	26 days
SRR3743623	whole organism, Egfr3 6 feedings SR, 26 days	whole organism	Egfr3 6 feedings SR	asexual CIW4	26 days
SRR3743624	whole organism, Egfr3 6 feedings SR, 26 days	whole organism	Egfr3 6 feedings SR	asexual CIW4	26 days
SRR3743625	whole organism, Egfr3 6 feedings SR, 26 days	whole organism	Egfr3 6 feedings SR	asexual CIW4	26 days
SRR3743626	whole organism, Egfr3 6 feedings SR, 28 days	whole organism	Egfr3 6 feedings SR	asexual CIW4	28 days
SRR3743627	whole organism, Egfr3 6 feedings SR, 28 days	whole organism	Egfr3 6 feedings SR	asexual CIW4	28 days
SRR3743628	whole organism, Egfr3 6 feedings SR, 28 days	whole organism	Egfr3 6 feedings SR	asexual CIW4	28 days
SRR3743629	whole organism, Egfr3 6 feedings SR, 28 days	whole organism	Egfr3 6 feedings SR	asexual CIW4	28 days
SRR3743630	whole organism, Egfr3 6 feedings SR, 30 days	whole organism	Egfr3 6 feedings SR	asexual CIW4	30 days
SRR3743631	whole organism, Egfr3 6 feedings SR, 30 days	whole organism	Egfr3 6 feedings SR	asexual CIW4	30 days
SRR3743632	whole organism, Egfr3 6 feedings SR, 30 days	whole organism	Egfr3 6 feedings SR	asexual CIW4	30 days
SRR3743633	whole organism, Egfr3 6 feedings SR, 30 days	whole organism	Egfr3 6 feedings SR	asexual CIW4	30 days
SRR3743634	whole organism, Egfr3 6 feedings SR, 32 days	whole organism	Egfr3 6 feedings SR	asexual CIW4	32 days
SRR3743635	whole organism, Egfr3 6 feedings SR, 32 days	whole organism	Egfr3 6 feedings SR	asexual CIW4	32 days
SRR3743636	whole organism, Egfr3 6 feedings SR, 32 days	whole organism	Egfr3 6 feedings SR	asexual CIW4	32 days
SRR3743637	whole organism, Egfr3 6 feedings SR, 32 days	whole organism	Egfr3 6 feedings SR	asexual CIW4	32 days
SRR3743610	whole organism, Egfr3 8 feedings NT, 30 days	whole organism	Egfr3 8 feedings NT	asexual CIW4	30 days
SRR3743611	whole organism, Egfr3 8 feedings NT, 30 days	whole organism	Egfr3 8 feedings NT	asexual CIW4	30 days
SRR3743612	whole organism, Egfr3 8 feedings NT, 30 days	whole organism	Egfr3 8 feedings NT	asexual CIW4	30 days
SRR3743613	whole organism, Egfr3 8 feedings NT, 30 days	whole organism	Egfr3 8 feedings NT	asexual CIW4	30 days
SRR3743714	whole organism, Unc22 3 feedings NT, 9 days	whole organism	Unc22 3 feedings NT	asexual CIW4	9 days
SRR3743715	whole organism, Unc22 3 feedings NT, 9 days	whole organism	Unc22 3 feedings NT	asexual CIW4	9 days
SRR3743716	whole organism, Unc22 3 feedings NT, 9 days	whole organism	Unc22 3 feedings NT	asexual CIW4	9 days
SRR3743717	whole organism, Unc22 3 feedings NT, 9 days	whole organism	Unc22 3 feedings NT	asexual CIW4	9 days
SRR3743722	whole organism, Unc22 6 feedings SR, 22 days	whole organism	Unc22 6 feedings SR	asexual CIW4	22 days
SRR3743723	whole organism, Unc22 6 feedings SR, 22 days	whole organism	Unc22 6 feedings SR	asexual CIW4	22 days
SRR3743724	whole organism, Unc22 6 feedings SR, 22 days	whole organism	Unc22 6 feedings SR	asexual CIW4	22 days
SRR3743725	whole organism, Unc22 6 feedings SR, 22 days	whole organism	Unc22 6 feedings SR	asexual CIW4	22 days
SRR3743726	whole organism, Unc22 6 feedings SR, 23 days	whole organism	Unc22 6 feedings SR	asexual CIW4	23 days
SRR3743727	whole organism, Unc22 6 feedings SR, 23 days	whole organism	Unc22 6 feedings SR	asexual CIW4	23 days
SRR3743728	whole organism, Unc22 6 feedings SR, 23 days	whole organism	Unc22 6 feedings SR	asexual CIW4	23 days
SRR3743729	whole organism, Unc22 6 feedings SR, 23 days	whole organism	Unc22 6 feedings SR	asexual CIW4	23 days
SRR3743730	whole organism, Unc22 6 feedings SR, 26 days	whole organism	Unc22 6 feedings SR	asexual CIW4	26 days
SRR3743731	whole organism, Unc22 6 feedings SR, 26 days	whole organism	Unc22 6 feedings SR	asexual CIW4	26 days
SRR3743732	whole organism, Unc22 6 feedings SR, 26 days	whole organism	Unc22 6 feedings SR	asexual CIW4	26 days
SRR3743733	whole organism, Unc22 6 feedings SR, 26 days	whole organism	Unc22 6 feedings SR	asexual CIW4	26 days
SRR3743734	whole organism, Unc22 6 feedings SR, 28 days	whole organism	Unc22 6 feedings SR	asexual CIW4	28 days
SRR3743735	whole organism, Unc22 6 feedings SR, 28 days	whole organism	Unc22 6 feedings SR	asexual CIW4	28 days
SRR3743736	whole organism, Unc22 6 feedings SR, 28 days	whole organism	Unc22 6 feedings SR	asexual CIW4	28 days
SRR3743737	whole organism, Unc22 6 feedings SR, 28 days	whole organism	Unc22 6 feedings SR	asexual CIW4	28 days
SRR3743738	whole organism, Unc22 6 feedings SR, 30 days	whole organism	Unc22 6 feedings SR	asexual CIW4	30 days
SRR3743739	whole organism, Unc22 6 feedings SR, 30 days	whole organism	Unc22 6 feedings SR	asexual CIW4	30 days
SRR3743740	whole organism, Unc22 6 feedings SR, 30 days	whole organism	Unc22 6 feedings SR	asexual CIW4	30 days
SRR3743741	whole organism, Unc22 6 feedings SR, 30 days	whole organism	Unc22 6 feedings SR	asexual CIW4	30 days
SRR3743742	whole organism, Unc22 6 feedings SR, 32 days	whole organism	Unc22 6 feedings SR	asexual CIW4	32 days
SRR3743743	whole organism, Unc22 6 feedings SR, 32 days	whole organism	Unc22 6 feedings SR	asexual CIW4	32 days
SRR3743744	whole organism, Unc22 6 feedings SR, 32 days	whole organism	Unc22 6 feedings SR	asexual CIW4	32 days
SRR3743745	whole organism, Unc22 6 feedings SR, 32 days	whole organism	Unc22 6 feedings SR	asexual CIW4	32 days
SRR3743718	whole organism, Unc22 8 feedings NT, 30 days	whole organism	Unc22 8 feedings NT	asexual CIW4	30 days
SRR3743719	whole organism, Unc22 8 feedings NT, 30 days	whole organism	Unc22 8 feedings NT	asexual CIW4	30 days
SRR3743720	whole organism, Unc22 8 feedings NT, 30 days	whole organism	Unc22 8 feedings NT	asexual CIW4	30 days
SRR3743721	whole organism, Unc22 8 feedings NT, 30 days	whole organism	Unc22 8 feedings NT	asexual CIW4	30 days
SRR3743642	whole organism, nrg6 3 feedings NT, 9 days	whole organism	nrg6 3 feedings NT	asexual CIW4	9 days
