Run	Sample	Condition	cell_type	genotype	irradiation	organism_part	timepoint	treatment
SRR6363952	SAMN08153306	24hours after 10K irradiation, whole organism		wild type	24hours after 10K irradiation	whole organism		
SRR6363953	SAMN08153306	24hours after 10K irradiation, whole organism		wild type	24hours after 10K irradiation	whole organism		
SRR6363954	SAMN08153306	24hours after 10K irradiation, whole organism		wild type	24hours after 10K irradiation	whole organism		
SRR6363949	SAMN08153307	24hours after 10K irradiation, whole organism		wild type	24hours after 10K irradiation	whole organism		
SRR6363950	SAMN08153307	24hours after 10K irradiation, whole organism		wild type	24hours after 10K irradiation	whole organism		
SRR6363951	SAMN08153307	24hours after 10K irradiation, whole organism		wild type	24hours after 10K irradiation	whole organism		
SRR6363946	SAMN08153308	24hours after 10K irradiation, whole organism		wild type	24hours after 10K irradiation	whole organism		
SRR6363947	SAMN08153308	24hours after 10K irradiation, whole organism		wild type	24hours after 10K irradiation	whole organism		
SRR6363948	SAMN08153308	24hours after 10K irradiation, whole organism		wild type	24hours after 10K irradiation	whole organism		
SRR6363981	SAMN08153296	sorted piwi-1 high cells	sorted piwi-1 high cells	wild type				
SRR6363982	SAMN08153296	sorted piwi-1 high cells	sorted piwi-1 high cells	wild type				
SRR6363975	SAMN08153299	sorted piwi-1 high cells	sorted piwi-1 high cells	wild type				
SRR6363976	SAMN08153299	sorted piwi-1 high cells	sorted piwi-1 high cells	wild type				
SRR6363961	SAMN08153302	sorted piwi-1 high cells	sorted piwi-1 high cells	wild type				
SRR6363963	SAMN08153302	sorted piwi-1 high cells	sorted piwi-1 high cells	wild type				
SRR6363955	SAMN08153305	sorted piwi-1 high cells	sorted piwi-1 high cells	wild type				
SRR6363956	SAMN08153305	sorted piwi-1 high cells	sorted piwi-1 high cells	wild type				
SRR6363983	SAMN08153295	sorted piwi-1 low cells	sorted piwi-1 low cells	wild type				
SRR6363984	SAMN08153295	sorted piwi-1 low cells	sorted piwi-1 low cells	wild type				
SRR6363977	SAMN08153298	sorted piwi-1 low cells	sorted piwi-1 low cells	wild type				
SRR6363978	SAMN08153298	sorted piwi-1 low cells	sorted piwi-1 low cells	wild type				
SRR6363966	SAMN08153301	sorted piwi-1 low cells	sorted piwi-1 low cells	wild type				
SRR6363969	SAMN08153301	sorted piwi-1 low cells	sorted piwi-1 low cells	wild type				
SRR6363957	SAMN08153304	sorted piwi-1 low cells	sorted piwi-1 low cells	wild type				
