Run	Location	End	Quality
SRR6363910	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/000/SRR6363910	se	79
SRR6363911	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/001/SRR6363911	se	79
SRR6363912	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/002/SRR6363912	se	80
SRR6363913	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/003/SRR6363913	se	80
SRR6363914	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/004/SRR6363914	se	79
SRR6363915	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/005/SRR6363915	se	80
SRR6363916	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/006/SRR6363916	se	79
SRR6363917	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/007/SRR6363917	se	78
SRR6363918	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/008/SRR6363918	se	79
SRR6363919	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/009/SRR6363919	se	52
SRR6363920	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/000/SRR6363920	se	52
SRR6363921	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/001/SRR6363921	se	53
SRR6363922	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/002/SRR6363922	se	54
SRR6363923	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/003/SRR6363923	se	54
SRR6363924	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/004/SRR6363924	se	55
SRR6363925	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/005/SRR6363925	se	55
SRR6363926	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/006/SRR6363926	se	55
SRR6363927	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/007/SRR6363927	se	56
SRR6363928	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/008/SRR6363928	se	58
SRR6363929	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/009/SRR6363929	se	58
SRR6363930	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/000/SRR6363930	se	59
SRR6363931	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/001/SRR6363931	se	60
SRR6363932	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/002/SRR6363932	se	60
SRR6363933	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/003/SRR6363933	se	60
SRR6363934	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/004/SRR6363934	se	59
SRR6363935	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/005/SRR6363935	se	58
SRR6363936	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/006/SRR6363936	se	59
SRR6363937	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/007/SRR6363937	se	63
SRR6363938	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/008/SRR6363938	se	62
SRR6363939	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/009/SRR6363939	se	63
SRR6363940	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/000/SRR6363940	se	65
SRR6363941	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/001/SRR6363941	se	64
SRR6363942	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/002/SRR6363942	se	65
SRR6363943	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/003/SRR6363943	se	65
SRR6363944	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/004/SRR6363944	se	65
SRR6363945	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/005/SRR6363945	se	65
SRR6363946	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/006/SRR6363946	se	79
SRR6363947	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/007/SRR6363947	se	79
SRR6363948	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/008/SRR6363948	se	80
SRR6363949	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/009/SRR6363949	se	79
SRR6363950	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/000/SRR6363950	se	79
SRR6363951	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/001/SRR6363951	se	80
SRR6363952	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/002/SRR6363952	se	79
SRR6363953	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/003/SRR6363953	se	78
SRR6363954	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/004/SRR6363954	se	79
SRR6363955	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/005/SRR6363955	se	66
SRR6363956	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/006/SRR6363956	se	64
SRR6363957	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/007/SRR6363957	se	60
SRR6363958	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/008/SRR6363958	se	59
SRR6363959	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/009/SRR6363959	se	21
SRR6363960	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/000/SRR6363960	se	20
SRR6363961	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/001/SRR6363961	se	74
SRR6363963	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/003/SRR6363963	se	72
SRR6363966	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/006/SRR6363966	se	72
SRR6363969	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/009/SRR6363969	se	70
SRR6363972	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/002/SRR6363972	se	62
SRR6363974	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/004/SRR6363974	se	60
SRR6363975	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/005/SRR6363975	se	61
SRR6363976	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/006/SRR6363976	se	60
SRR6363977	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/007/SRR6363977	se	46
SRR6363978	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/008/SRR6363978	se	45
SRR6363979	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/009/SRR6363979	se	69
SRR6363980	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/000/SRR6363980	se	68
SRR6363981	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/001/SRR6363981	se	51
SRR6363982	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/002/SRR6363982	se	50
SRR6363983	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/003/SRR6363983	se	45
SRR6363984	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/004/SRR6363984	se	44
SRR6363985	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/005/SRR6363985	se	33
SRR6363986	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/006/SRR6363986	se	33
SRR6363987	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/007/SRR6363987	se	80
SRR6363988	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/008/SRR6363988	se	79
SRR6363989	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/009/SRR6363989	se	78
SRR6363990	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/000/SRR6363990	se	78
SRR6363991	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/001/SRR6363991	se	75
SRR6363992	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/002/SRR6363992	se	77
SRR6363993	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/003/SRR6363993	se	77
SRR6363994	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/004/SRR6363994	se	74
SRR6363995	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/005/SRR6363995	se	77
SRR6363996	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/006/SRR6363996	se	77
SRR6363997	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/007/SRR6363997	se	74
SRR6363998	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/008/SRR6363998	se	78
SRR6363999	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/009/SRR6363999	se	78
SRR6364000	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/000/SRR6364000	se	76
SRR6364001	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/001/SRR6364001	se	78
SRR6364002	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/002/SRR6364002	se	78
SRR6364003	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/003/SRR6364003	se	77
SRR6364004	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/004/SRR6364004	se	77
SRR6364005	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/005/SRR6364005	se	77
SRR6364006	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/006/SRR6364006	se	78
SRR6364007	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/007/SRR6364007	se	78
SRR6364008	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/008/SRR6364008	se	78
SRR6364009	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/009/SRR6364009	se	79
SRR6364010	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/000/SRR6364010	se	80
SRR6364011	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/001/SRR6364011	se	77
SRR6364012	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/002/SRR6364012	se	78
SRR6364013	ftp://ftp.ebi.ac.uk/pub/databases/arrayexpress/data/atlas/rnaseq/SRR636/003/SRR6364013	se	78
