Run	Condition	RNAi	Tissue	strain
SRR8842973	X1 cells		FACS-sorted neoblasts (X1 cells)	CIW4
SRR8842974	X1 cells		FACS-sorted neoblasts (X1 cells)	CIW4
SRR8842975	X1 cells		FACS-sorted neoblasts (X1 cells)	CIW4
SRR8162682	X1 cells, smedwi-2 RNAi	Smedwi-2 RNAi	FACS-sorted neoblasts (X1 cells)	CIW4
SRR8162683	X1 cells, smedwi-2 RNAi	Smedwi-2 RNAi	FACS-sorted neoblasts (X1 cells)	CIW4
SRR8162684	X1 cells, smedwi-2 RNAi	Smedwi-2 RNAi	FACS-sorted neoblasts (X1 cells)	CIW4
SRR8162673	X1 cells, smedwi-3 RNAi	smedwi-3 RNAi	FACS-sorted neoblasts (X1 cells)	CIW4
SRR8162674	X1 cells, smedwi-3 RNAi	smedwi-3 RNAi	FACS-sorted neoblasts (X1 cells)	CIW4
SRR8162675	X1 cells, smedwi-3 RNAi	smedwi-3 RNAi	FACS-sorted neoblasts (X1 cells)	CIW4
SRR8162667	X1 cells, unc-22 RNAI	Unc-22 RNAi (control)	FACS-sorted neoblasts (X1 cells)	CIW4
SRR8162668	X1 cells, unc-22 RNAI	Unc-22 RNAi (control)	FACS-sorted neoblasts (X1 cells)	CIW4
SRR8162669	X1 cells, unc-22 RNAI	Unc-22 RNAi (control)	FACS-sorted neoblasts (X1 cells)	CIW4
SRR8162679	X1 cells, unc-22 RNAI	Unc-22 RNAi (control)	FACS-sorted neoblasts (X1 cells)	CIW4
SRR8162680	X1 cells, unc-22 RNAI	Unc-22 RNAi (control)	FACS-sorted neoblasts (X1 cells)	CIW4
SRR8162681	X1 cells, unc-22 RNAI	Unc-22 RNAi (control)	FACS-sorted neoblasts (X1 cells)	CIW4
SRR8162688	Xins cells, smedwi-2 RNAi	Smedwi-2 RNAi	FACS-sorted differentiated cells (Xins cells)	CIW4
SRR8162689	Xins cells, smedwi-2 RNAi	Smedwi-2 RNAi	FACS-sorted differentiated cells (Xins cells)	CIW4
SRR8162690	Xins cells, smedwi-2 RNAi	Smedwi-2 RNAi	FACS-sorted differentiated cells (Xins cells)	CIW4
SRR8162676	Xins cells, smedwi-3 RNAi	smedwi-3 RNAi	FACS-sorted differentiated cells (Xins cells)	CIW4
SRR8162677	Xins cells, smedwi-3 RNAi	smedwi-3 RNAi	FACS-sorted differentiated cells (Xins cells)	CIW4
SRR8162678	Xins cells, smedwi-3 RNAi	smedwi-3 RNAi	FACS-sorted differentiated cells (Xins cells)	CIW4
SRR8162670	Xins cells, unc-22 RNAi	Unc-22 RNAi (control)	FACS-sorted differentiated cells (Xins cells)	CIW4
SRR8162671	Xins cells, unc-22 RNAi	Unc-22 RNAi (control)	FACS-sorted differentiated cells (Xins cells)	CIW4
SRR8162672	Xins cells, unc-22 RNAi	Unc-22 RNAi (control)	FACS-sorted differentiated cells (Xins cells)	CIW4
SRR8162685	Xins cells, unc-22 RNAi	Unc-22 RNAi (control)	FACS-sorted differentiated cells (Xins cells)	CIW4
SRR8162686	Xins cells, unc-22 RNAi	Unc-22 RNAi (control)	FACS-sorted differentiated cells (Xins cells)	CIW4
SRR8162687	Xins cells, unc-22 RNAi	Unc-22 RNAi (control)	FACS-sorted differentiated cells (Xins cells)	CIW4
SRR8162691	whole worm		whole worm	CIW4
SRR8162692	whole worm		whole worm	CIW4
