Run	Condition	description_title	id	organism_part	sample_name	developmental_stage	sex	strain
SRR8182037	DL_656	Single cell RNA sequencing DL_656	Single cell RNA sequencing DL_656	mucle cell, dorsal lateral	DL_656	adult	hermaphrodite	Asexual
SRR8182036	DL_657	Single cell RNA sequencing DL_657	Single cell RNA sequencing DL_657	mucle cell, dorsal lateral	DL_657	adult	hermaphrodite	Asexual
SRR8182035	DL_667	Single cell RNA sequencing DL_667	Single cell RNA sequencing DL_667	mucle cell, dorsal lateral	DL_667	adult	hermaphrodite	Asexual
SRR8182034	DL_668	Single cell RNA sequencing DL_668	Single cell RNA sequencing DL_668	mucle cell, dorsal lateral	DL_668	adult	hermaphrodite	Asexual
SRR8182041	DL_679	Single cell RNA sequencing DL_679	Single cell RNA sequencing DL_679	mucle cell, dorsal lateral	DL_679	adult	hermaphrodite	Asexual
SRR8182040	DL_680	Single cell RNA sequencing DL_680	Single cell RNA sequencing DL_680	mucle cell, dorsal lateral	DL_680	adult	hermaphrodite	Asexual
SRR8182039	DL_691	Single cell RNA sequencing DL_691	Single cell RNA sequencing DL_691	mucle cell, dorsal lateral	DL_691	adult	hermaphrodite	Asexual
SRR8182038	DL_692	Single cell RNA sequencing DL_692	Single cell RNA sequencing DL_692	mucle cell, dorsal lateral	DL_692	adult	hermaphrodite	Asexual
SRR8182033	DL_693	Single cell RNA sequencing DL_693	Single cell RNA sequencing DL_693	mucle cell, dorsal lateral	DL_693	adult	hermaphrodite	Asexual
SRR8182032	DL_703	Single cell RNA sequencing DL_703	Single cell RNA sequencing DL_703	mucle cell, dorsal lateral	DL_703	adult	hermaphrodite	Asexual
SRR8182055	DL_704	Single cell RNA sequencing DL_704	Single cell RNA sequencing DL_704	mucle cell, dorsal lateral	DL_704	adult	hermaphrodite	Asexual
SRR8182054	DL_705	Single cell RNA sequencing DL_705	Single cell RNA sequencing DL_705	mucle cell, dorsal lateral	DL_705	adult	hermaphrodite	Asexual
SRR8182057	DL_715	Single cell RNA sequencing DL_715	Single cell RNA sequencing DL_715	mucle cell, dorsal lateral	DL_715	adult	hermaphrodite	Asexual
SRR8182056	DL_716	Single cell RNA sequencing DL_716	Single cell RNA sequencing DL_716	mucle cell, dorsal lateral	DL_716	adult	hermaphrodite	Asexual
SRR8182059	DL_717	Single cell RNA sequencing DL_717	Single cell RNA sequencing DL_717	mucle cell, dorsal lateral	DL_717	adult	hermaphrodite	Asexual
SRR8182058	DL_727	Single cell RNA sequencing DL_727	Single cell RNA sequencing DL_727	mucle cell, dorsal lateral	DL_727	adult	hermaphrodite	Asexual
SRR8182061	DL_728	Single cell RNA sequencing DL_728	Single cell RNA sequencing DL_728	mucle cell, dorsal lateral	DL_728	adult	hermaphrodite	Asexual
SRR8182060	DL_739	Single cell RNA sequencing DL_739	Single cell RNA sequencing DL_739	mucle cell, dorsal lateral	DL_739	adult	hermaphrodite	Asexual
SRR8182053	DM_654	Single cell RNA sequencing DM_654	Single cell RNA sequencing DM_654	mucle cell, dorsal medial	DM_654	adult	hermaphrodite	Asexual
SRR8182052	DM_655	Single cell RNA sequencing DM_655	Single cell RNA sequencing DM_655	mucle cell, dorsal medial	DM_655	adult	hermaphrodite	Asexual
SRR8182028	DM_666	Single cell RNA sequencing DM_666	Single cell RNA sequencing DM_666	mucle cell, dorsal medial	DM_666	adult	hermaphrodite	Asexual
SRR8182029	DM_674	Single cell RNA sequencing DM_674	Single cell RNA sequencing DM_674	mucle cell, dorsal medial	DM_674	adult	hermaphrodite	Asexual
SRR8182030	DM_675	Single cell RNA sequencing DM_675	Single cell RNA sequencing DM_675	mucle cell, dorsal medial	DM_675	adult	hermaphrodite	Asexual
SRR8182031	DM_676	Single cell RNA sequencing DM_676	Single cell RNA sequencing DM_676	mucle cell, dorsal medial	DM_676	adult	hermaphrodite	Asexual
SRR8182024	DM_677	Single cell RNA sequencing DM_677	Single cell RNA sequencing DM_677	mucle cell, dorsal medial	DM_677	adult	hermaphrodite	Asexual
SRR8182025	DM_678	Single cell RNA sequencing DM_678	Single cell RNA sequencing DM_678	mucle cell, dorsal medial	DM_678	adult	hermaphrodite	Asexual
