Run	Condition	regeneration_days	gravity	developmental_stage	molecule	organism_part	sex	strain
SRR8476593	hypergravity control, 12 days	12	hypergravity control	adult	polyA RNA	whole organism	asexual	asexual BCN-10 clonal line
SRR8476594	hypergravity control, 12 days	12	hypergravity control	adult	polyA RNA	whole organism	asexual	asexual BCN-10 clonal line
SRR8476601	hypergravity control, 5 days	5	hypergravity control	adult	polyA RNA	whole organism	asexual	asexual BCN-10 clonal line
SRR8476602	hypergravity control, 5 days	5	hypergravity control	adult	polyA RNA	whole organism	asexual	asexual BCN-10 clonal line
SRR8476591	hypergravity test, 12 days	12	hypergravity test	adult	polyA RNA	whole organism	asexual	asexual BCN-10 clonal line
SRR8476592	hypergravity test, 12 days	12	hypergravity test	adult	polyA RNA	whole organism	asexual	asexual BCN-10 clonal line
SRR8476599	hypergravity test, 5 days	5	hypergravity test	adult	polyA RNA	whole organism	asexual	asexual BCN-10 clonal line
SRR8476600	hypergravity test, 5 days	5	hypergravity test	adult	polyA RNA	whole organism	asexual	asexual BCN-10 clonal line
SRR8476597	microgravity control, 12 days	12	microgravity control	adult	polyA RNA	whole organism	asexual	asexual BCN-10 clonal line
SRR8476598	microgravity control, 12 days	12	microgravity control	adult	polyA RNA	whole organism	asexual	asexual BCN-10 clonal line
SRR8476605	microgravity control, 5 days	5	microgravity control	adult	polyA RNA	whole organism	asexual	asexual BCN-10 clonal line
SRR8476606	microgravity control, 5 days	5	microgravity control	adult	polyA RNA	whole organism	asexual	asexual BCN-10 clonal line
SRR8476595	microgravity test, 12 days	12	microgravity test	adult	polyA RNA	whole organism	asexual	asexual BCN-10 clonal line
SRR8476596	microgravity test, 12 days	12	microgravity test	adult	polyA RNA	whole organism	asexual	asexual BCN-10 clonal line
SRR8476603	microgravity test, 5 days	5	microgravity test	adult	polyA RNA	whole organism	asexual	asexual BCN-10 clonal line
SRR8476604	microgravity test, 5 days	5	microgravity test	adult	polyA RNA	whole organism	asexual	asexual BCN-10 clonal line
