Run	Condition	organism_part	title	developmental_stage	source_name	strain
SRR9899833	SRR9899833	medial intestine (anterior)	medial_int_rep1	uninjured adult	Whole animal	clonal line CIW4
SRR9899834	SRR9899834	medial intestine (anterior)	medial_int_rep2	uninjured adult	Whole animal	clonal line CIW4
SRR9899835	SRR9899835	medial intestine (anterior)	medial_int_rep3	uninjured adult	Whole animal	clonal line CIW4
SRR9899836	SRR9899836	medial intestine (anterior)	medial_int_rep4	uninjured adult	Whole animal	clonal line CIW4
SRR9899837	SRR9899837	medial intestine (anterior)	lateral_int_rep1	uninjured adult	Whole animal	clonal line CIW4
SRR9899838	SRR9899838	medial intestine (anterior)	lateral_int_rep2	uninjured adult	Whole animal	clonal line CIW4
SRR9899839	SRR9899839	medial intestine (anterior)	lateral_int_rep3	uninjured adult	Whole animal	clonal line CIW4
SRR9899840	SRR9899840	medial intestine (anterior)	lateral_int_rep4	uninjured adult	Whole animal	clonal line CIW4
SRR9899841	SRR9899841	non-intestinal tissue (anterior)	non_int_rep1	uninjured adult	Whole animal	clonal line CIW4
SRR9899842	SRR9899842	non-intestinal tissue (anterior)	non_int_rep2	uninjured adult	Whole animal	clonal line CIW4
SRR9899843	SRR9899843	non-intestinal tissue (anterior)	non_int_rep3	uninjured adult	Whole animal	clonal line CIW4
SRR9899844	SRR9899844	non-intestinal tissue (anterior)	non_int_rep4	uninjured adult	Whole animal	clonal line CIW4
