Run	Condition	developmental_stage	organism_part
SRR4119844	1.5-fold	1.5-fold	whole organism
SRR4119842	1.5-fold	1.5-fold	whole organism
SRR4119843	1.5-fold	1.5-fold	whole organism
SRR4119845	1.5-fold	1.5-fold	whole organism
SRR4119818	2-cell	2-cell	whole organism
SRR4119819	2-cell	2-cell	whole organism
SRR4119820	2-cell	2-cell	whole organism
SRR4119821	2-cell	2-cell	whole organism
SRR4119846	2-fold	2-fold	whole organism
SRR4119847	2-fold	2-fold	whole organism
SRR4119848	2-fold	2-fold	whole organism
SRR4119849	2-fold	2-fold	whole organism
SRR4119832	24-44-cell	24-44-cell	whole organism
SRR4119830	24-44-cell	24-44-cell	whole organism
SRR4119831	24-44-cell	24-44-cell	whole organism
SRR4119833	24-44-cell	24-44-cell	whole organism
SRR4119822	4-cell	4-cell	whole organism
SRR4119824	4-cell	4-cell	whole organism
SRR4119823	4-cell	4-cell	whole organism
SRR4119825	4-cell	4-cell	whole organism
SRR4119834	64-78-cell	64-78-cell	whole organism
SRR4119835	64-78-cell	64-78-cell	whole organism
SRR4119836	64-78-cell	64-78-cell	whole organism
SRR4119837	64-78-cell	64-78-cell	whole organism
SRR4119826	8-cell	8-cell	whole organism
SRR4119827	8-cell	8-cell	whole organism
SRR4119828	8-cell	8-cell	whole organism
SRR4119829	8-cell	8-cell	whole organism
SRR4119838	comma	comma	whole organism
SRR4119841	comma	comma	whole organism
SRR4119839	comma	comma	whole organism
SRR4119840	comma	comma	whole organism
SRR4119856	L1	L1	whole organism
SRR4119854	L1	L1	whole organism
SRR4119855	L1	L1	whole organism
SRR4119857	L1	L1	whole organism
SRR4119853	moving	moving	whole organism
SRR4119850	moving	moving	whole organism
SRR4119851	moving	moving	whole organism
SRR4119852	moving	moving	whole organism
SRR4119814	zygote	zygote	whole organism
SRR4119815	zygote	zygote	whole organism
SRR4119816	zygote	zygote	whole organism
SRR4119817	zygote	zygote	whole organism
