Run	Condition	developmental_stage	geographic_location	host	organism_part
SRR6794447	Portugal	Infective Juvenile	Portugal	Various larvae	whole organism
SRR6794451	Portugal	Infective Juvenile	Portugal	Various larvae	whole organism
SRR6794452	Portugal	Infective Juvenile	Portugal	Various larvae	whole organism
SRR6794453	Portugal	Infective Juvenile	Portugal	Various larvae	whole organism
SRR6794454	Portugal	Infective Juvenile	Portugal	Various larvae	whole organism
SRR6794455	Portugal	Infective Juvenile	Portugal	Various larvae	whole organism
SRR6794441	USA	Infective Juvenile	USA	Various larvae	whole organism
SRR6794442	USA	Infective Juvenile	USA	Various larvae	whole organism
SRR6794443	USA	Infective Juvenile	USA	Various larvae	whole organism
SRR6794444	USA	Infective Juvenile	USA	Various larvae	whole organism
SRR6794445	USA	Infective Juvenile	USA	Various larvae	whole organism
SRR6794464	USA	Infective Juvenile	USA	Various larvae	whole organism
SRR6794446	United Kingdom	Infective Juvenile	United Kingdom	Various larvae	whole organism
SRR6794448	United Kingdom	Infective Juvenile	United Kingdom	Various larvae	whole organism
SRR6794449	United Kingdom	Infective Juvenile	United Kingdom	Various larvae	whole organism
SRR6794450	United Kingdom	Infective Juvenile	United Kingdom	Various larvae	whole organism
SRR6794465	United Kingdom	Infective Juvenile	United Kingdom	Various larvae	whole organism
SRR6794466	United Kingdom	Infective Juvenile	United Kingdom	Various larvae	whole organism
