Run	Sample	Condition	developmental_stage	host	sex	strain
DRR106346	SAMD00096905	free-living adult	free-living adult	Rattus norvegicus	female	HH1
DRR106347	SAMD00096905	free-living adult	free-living adult	Rattus norvegicus	female	HH1
DRR106348	SAMD00096906	free-living adult	free-living adult	Rattus norvegicus	female	HH1
DRR106349	SAMD00096906	free-living adult	free-living adult	Rattus norvegicus	female	HH1
DRR106350	SAMD00096907	free-living adult	free-living adult	Rattus norvegicus	female	HH1
DRR106351	SAMD00096907	free-living adult	free-living adult	Rattus norvegicus	female	HH1
DRR106352	SAMD00096908	parasitic adult	parasitic adult	Rattus norvegicus	female	HH1
DRR106353	SAMD00096908	parasitic adult	parasitic adult	Rattus norvegicus	female	HH1
DRR106354	SAMD00096909	parasitic adult	parasitic adult	Rattus norvegicus	female	HH1
DRR106355	SAMD00096909	parasitic adult	parasitic adult	Rattus norvegicus	female	HH1
DRR106356	SAMD00096910	parasitic adult	parasitic adult	Rattus norvegicus	female	HH1
DRR106357	SAMD00096910	parasitic adult	parasitic adult	Rattus norvegicus	female	HH1
